two_theta	y_obs	y_weights	y_calc	y_diff	y_bkg	q_values	d_spacings
1.00035600	63.55352400	0.01573477	64.66971800	-1.11619390	64.66971800	0.65885836	9.53647347
1.00407270	63.50993300	0.01574557	64.72274100	-1.21280750	64.72274100	0.66130621	9.50117393
1.00778950	63.50820000	0.01574600	64.77558500	-1.26738460	64.77558500	0.66375412	9.46613382
1.01150620	63.52337100	0.01574224	64.82825000	-1.30487860	64.82825000	0.66620196	9.43135215
1.01522300	63.62173700	0.01571790	64.88073600	-1.25899930	64.88073600	0.66864987	9.39682423
1.01893970	63.66342800	0.01570760	64.93304500	-1.26961680	64.93304500	0.67109771	9.36254913
1.02265640	63.70918000	0.01569633	64.98517500	-1.27599510	64.98517500	0.67354555	9.32852317
1.02637320	63.75105900	0.01568601	65.03712800	-1.28606900	65.03712800	0.67599346	9.29474273
1.03008990	63.76285300	0.01568311	65.08890400	-1.32605090	65.08890400	0.67844130	9.26120698
1.03380670	63.73626500	0.01568966	65.14050300	-1.40423810	65.14050300	0.68088921	9.22791146
1.03752340	63.72168300	0.01569325	65.19192500	-1.47024150	65.19192500	0.68333704	9.19485539
1.04124010	63.74664700	0.01568710	65.24317100	-1.49652420	65.24317100	0.68578488	9.16203531
1.04495690	63.79123100	0.01567614	65.29424100	-1.50301080	65.29424100	0.68823279	9.12944783
1.04867360	63.78524900	0.01567761	65.34513600	-1.55988710	65.34513600	0.69068062	9.09709222
1.05239040	63.77801000	0.01567939	65.39585600	-1.61784570	65.39585600	0.69312852	9.06496429
1.05610710	63.76014600	0.01568378	65.44640000	-1.68625450	65.44640000	0.69557636	9.03306335
1.05982390	63.82467300	0.01566792	65.49677000	-1.67209780	65.49677000	0.69802426	9.00138532
1.06354060	63.87523800	0.01565552	65.54696600	-1.67172870	65.54696600	0.70047209	8.96992954
1.06725730	63.89000400	0.01565190	65.59698900	-1.70698400	65.59698900	0.70291992	8.93869286
1.07097410	63.88349800	0.01565349	65.64683700	-1.76333920	65.64683700	0.70536782	8.90767216
1.07469080	63.91002800	0.01564700	65.69651200	-1.78648460	65.69651200	0.70781565	8.87686685
1.07840760	63.93765800	0.01564023	65.74601500	-1.80835730	65.74601500	0.71026355	8.84627306
