h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,1.00000000,1.00000000,8.00000000,2.41334211,3.95370397,1.90879087,1.55148441,657.33137183,601.46501027,-0.00000000,0.50990669,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,6.00000000,2.09001558,4.56564623,2.13530657,1.84777509,3541.08415309,3907.50679855,0.00000000,0.28687495,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,12.00000000,1.47786419,6.45850943,3.04024479,2.76507165,2867.07284891,2485.89933978,0.00000000,0.28708502,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,24.00000000,1.26032681,7.57477989,3.71923564,3.30674873,505.46460979,489.84826447,0.00000000,0.41780794,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,8.00000000,1.20667106,7.91212436,3.94574233,3.47057323,1883.79540371,1753.64281319,0.00000000,0.12768697,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,6.00000000,1.04500779,9.13856038,4.85292260,4.06672409,1285.14438002,1318.97061316,0.00000000,0.07187673,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,24.00000000,0.95896491,9.96050064,5.53468813,4.46679551,338.40698369,348.57711874,-0.00000000,0.24224480,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,24.00000000,0.93468338,10.21993749,5.76222883,4.59317191,926.27617351,1036.43587474,0.00000000,0.23017497,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,2.00000000,24.00000000,0.85324529,11.19836052,6.67389497,5.07023433,738.69683719,840.20849096,0.00000000,0.19195407,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,3.00000000,8.00000000,0.80444737,11.88002850,7.35928219,5.40305657,217.40103303,250.95411857,0.00000000,0.05690682,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,1.00000000,24.00000000,0.80444737,11.88002850,7.35928219,5.40305657,217.40103303,250.95411857,-0.00000000,0.17072046,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,12.00000000,0.73893209,12.93764966,8.50483981,5.92023615,678.37303118,588.15239014,0.00000000,0.07208941,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,1.00000000,48.00000000,0.70655422,13.53322804,9.19417373,6.21193299,183.84384607,186.39758110,-0.00000000,0.26378805,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,2.00000000,24.00000000,0.69667186,13.72611518,9.42429074,6.30647773,464.90722729,503.05009560,0.00000000,0.12825412,1.00000000,1.00000000,1.00000000
6.00000000,0.00000000,0.00000000,6.00000000,0.69667186,13.72611518,9.42429074,6.30647773,464.90722729,503.05009560,0.00000000,0.03206353,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,0.00000000,24.00000000,0.66092096,14.47246514,10.34647555,6.67266174,381.57006694,434.83075198,0.00000000,0.11551460,1.00000000,1.00000000,1.00000000
