h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
0.00000000,0.00000000,1.00000000,2.00000000,4.76933354,2.00032808,1.47912719,1.82013873,21624.24378882,24627.00827947,0.00000000,0.11236510,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,0.00000000,2.00000000,4.38871067,2.17383195,1.53762118,1.93534531,21299.61483226,16148.89990618,0.00000000,0.09514829,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,0.00000000,4.00000000,4.20732673,2.26756097,1.57121389,1.99758458,19009.02104508,15766.17758194,180.00000000,0.17489439,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-1.00000000,4.00000000,3.79268858,2.51550142,1.66682017,2.16223701,20625.50023188,16513.66858595,180.00000000,0.14212675,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,1.00000000,4.00000000,3.22947658,2.95428808,1.86001438,2.45367167,16685.96353155,16148.30779405,0.00000000,0.10305813,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,4.00000000,2.75878854,3.45847301,2.11989144,2.78862326,14041.77683378,12036.36342882,180.00000000,0.07521492,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-1.00000000,2.00000000,2.53070397,3.77028242,2.30090352,2.99582006,12839.72344241,16992.87819046,0.00000000,0.03164858,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,0.00000000,4.00000000,2.49742569,3.82054006,2.33153138,3.02921990,12711.21207098,16676.53501264,180.00000000,0.06164423,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-2.00000000,4.00000000,2.42199590,3.93957181,2.40568009,3.10832943,12396.20310594,12802.51929605,180.00000000,0.05797866,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-1.00000000,4.00000000,2.40175637,3.97278372,2.42677260,3.13040345,5858.18960642,5797.75632118,-180.00000000,0.05701423,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,2.00000000,2.39697680,3.98070862,2.43183165,3.13567074,2583.80067741,2639.05192668,0.00000000,0.02839383,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,2.00000000,2.00000000,2.38466677,4.00126601,2.44500171,3.14933435,6638.29853340,8265.01311249,0.00000000,0.02810310,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,0.00000000,2.00000000,2.19435533,4.34844670,2.67762189,3.38011938,11287.52884893,9892.13941381,0.00000000,0.02379890,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-1.00000000,4.00000000,2.19232834,4.35246914,2.68042992,3.38279358,8864.33288467,7999.69086407,0.00000000,0.04750996,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,4.00000000,2.10366337,4.53601047,2.81131097,3.50482429,12847.77729685,12976.67492764,-0.00000000,0.04374726,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,2.00000000,4.00000000,2.09532723,4.55406620,2.82447736,3.51682986,10320.61369274,10780.32545931,0.00000000,0.04340148,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-2.00000000,2.00000000,2.10277913,4.53791891,2.81270016,3.50609324,58917.73931959,59481.43094732,0.00000000,0.02185526,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,1.00000000,4.00000000,2.06184161,4.62806706,2.87898429,3.56603602,45475.12682572,43077.89341834,180.00000000,0.04202636,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,1.00000000,4.00000000,1.99347756,4.78687221,2.99891346,3.67164138,9087.54973977,8723.37779193,0.00000000,0.03928771,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-2.00000000,4.00000000,1.90932201,4.99799014,3.16459987,3.81205521,12089.25501239,12899.70934878,180.00000000,0.03604324,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,1.00000000,2.00000000,1.89021743,5.04853778,3.20532898,3.84567783,9220.16715503,11305.06655511,0.00000000,0.01766309,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-2.00000000,4.00000000,1.89634429,5.03221604,3.19213289,3.83482100,9605.37847495,10393.81960932,0.00000000,0.03555536,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,2.00000000,4.00000000,1.84360725,5.17626099,3.31006675,3.93064139,9338.48626747,9070.71909181,180.00000000,0.03360701,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,1.00000000,4.00000000,1.73604324,5.49721753,3.58480446,4.14418788,11009.59353157,8690.19848227,0.00000000,0.02980343,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-1.00000000,4.00000000,1.67659953,5.69227868,3.75984882,4.27400037,10486.13972396,9255.83477348,180.00000000,0.02779951,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-3.00000000,4.00000000,1.66817283,5.72105682,3.78619075,4.29315409,9925.29710457,8961.10063022,180.00000000,0.02752109,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-1.00000000,4.00000000,1.65790062,5.75653375,3.81884738,4.31676698,11115.69764108,10956.15779322,0.00000000,0.02718358,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,0.00000000,4.00000000,1.64843793,5.78960659,3.84947304,4.33878045,8710.15850177,9542.57300805,-180.00000000,0.02687452,1.00000000,1.00000000,1.00000000
