parameter_name,descriptive_name,phase_name,phase_idx,atom_name,atom_idx,value,esd,category
1::AU11:4,phase_1_atom_4_anisotropic_displacement_AU11,Li4MgWO6_SG12,1,O1,4,-1.704730e-01,1.16482756e-02,atom_displacement_anisotropic
1::AU12:4,phase_1_atom_4_anisotropic_displacement_AU12,Li4MgWO6_SG12,1,O1,4,-1.195679e-02,1.38024458e-02,atom_displacement_anisotropic
1::AU13:4,phase_1_atom_4_anisotropic_displacement_AU13,Li4MgWO6_SG12,1,O1,4,3.057124e-02,1.43071100e-02,atom_displacement_anisotropic
1::AU22:4,phase_1_atom_4_anisotropic_displacement_AU22,Li4MgWO6_SG12,1,O1,4,-1.808584e-03,9.46113036e-03,atom_displacement_anisotropic
1::AU23:4,phase_1_atom_4_anisotropic_displacement_AU23,Li4MgWO6_SG12,1,O1,4,-1.006787e-01,1.65972779e-02,atom_displacement_anisotropic
1::AU33:4,phase_1_atom_4_anisotropic_displacement_AU33,Li4MgWO6_SG12,1,O1,4,2.805044e-02,1.21372688e-02,atom_displacement_anisotropic
:0:Back;0,background_coefficient_0,,,,,6.718398e+01,3.72666631e-01,background
:0:Back;1,background_coefficient_1,,,,,-2.778970e+00,4.84591557e-01,background
:0:Back;2,background_coefficient_2,,,,,-4.924485e-01,4.57382618e-01,background
:0:Back;3,background_coefficient_3,,,,,2.179701e+00,4.39193370e-01,background
:0:Back;4,background_coefficient_4,,,,,-6.672865e-01,3.96670698e-01,background
:0:Back;5,background_coefficient_5,,,,,2.059328e+00,4.01851263e-01,background
0:0:Mustrain;i,phase_0_mustrain_i,DRX_33,0,,,9.858102e+01,9.10024442e+00,other
0:0:Mustrain;mx,phase_0_mustrain_mx,DRX_33,0,,,9.811611e+01,9.05205148e+00,other
0:0:Size;i,phase_0_crystallite_size_i,DRX_33,0,,,-9.679056e+00,1.31104054e+00,other
0:0:Size;mx,phase_0_crystallite_size_mx,DRX_33,0,,,6.519961e+01,9.74401594e+01,other
1:0:Mustrain;i,phase_1_mustrain_i,Li4MgWO6_SG12,1,,,1.162961e+02,1.90406020e+01,other
1:0:Mustrain;mx,phase_1_mustrain_mx,Li4MgWO6_SG12,1,,,1.141385e+02,1.84483173e+01,other
1:0:Size;i,phase_1_crystallite_size_i,Li4MgWO6_SG12,1,,,1.355614e+00,5.15043413e+00,other
1:0:Size;mx,phase_1_crystallite_size_mx,Li4MgWO6_SG12,1,,,2.996609e+00,2.58295289e+01,other
0::A0,phase_0_reciprocal_metric_tensor_A11,DRX_33,0,,,5.723227e-02,3.12463813e-05,reciprocal_metric_tensor
1::A0,phase_1_reciprocal_metric_tensor_A11,Li4MgWO6_SG12,1,,,4.351233e-02,8.50104469e-06,reciprocal_metric_tensor
1::A1,phase_1_reciprocal_metric_tensor_A22,Li4MgWO6_SG12,1,,,1.297974e-02,2.27659494e-06,reciprocal_metric_tensor
1::A2,phase_1_reciprocal_metric_tensor_A33,Li4MgWO6_SG12,1,,,4.396273e-02,7.79005647e-06,reciprocal_metric_tensor
1::A4,phase_1_reciprocal_metric_tensor_A13,Li4MgWO6_SG12,1,,,3.093546e-02,1.32029760e-05,reciprocal_metric_tensor
0:0:Scale,phase_0_scale_factor,DRX_33,0,,,1.107292e-02,8.12194492e-04,scale
1:0:Scale,phase_1_scale_factor,Li4MgWO6_SG12,1,,,7.344389e-03,8.77355265e-05,scale
