h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
1.00000000,1.00000000,1.00000000,8.00000000,2.41477620,3.95135500,602.14984181,640.28846858,0.00385588,3.24425290,DRX_33
2.00000000,0.00000000,0.00000000,6.00000000,2.09125750,4.56293340,4216.70383222,4011.03392926,0.01811613,11.43415500,DRX_33
2.00000000,2.00000000,0.00000000,12.00000000,1.47874240,6.45466980,2613.11710513,2565.36253075,0.02317329,7.31882960,DRX_33
2.00000000,2.00000000,2.00000000,8.00000000,1.20738810,7.90741800,1797.31020499,1819.13748622,0.01095502,2.30845600,DRX_33
3.00000000,1.00000000,1.00000000,24.00000000,1.26107570,7.57027490,512.96245869,522.89589308,0.00944679,2.17117390,DRX_33
3.00000000,3.00000000,1.00000000,24.00000000,0.95953477,9.95457040,355.74224814,375.13766888,0.00677735,0.90323742,DRX_33
3.00000000,3.00000000,3.00000000,8.00000000,0.80492541,11.87294800,271.17602181,272.62038589,0.00164175,0.15421730,DRX_33
4.00000000,0.00000000,0.00000000,6.00000000,1.04562880,9.13312160,1361.41992930,1374.56556112,0.00620833,0.98195208,DRX_33
4.00000000,2.00000000,0.00000000,24.00000000,0.93523881,10.21385200,1024.58692505,1084.52413251,0.01959333,2.48119450,DRX_33
4.00000000,2.00000000,2.00000000,24.00000000,0.85375232,11.19168900,839.61005848,882.45742725,0.01594273,1.68376490,DRX_33
4.00000000,4.00000000,0.00000000,12.00000000,0.73937120,12.92993400,644.98587887,621.95481832,0.00561821,0.44573234,DRX_33
4.00000000,4.00000000,2.00000000,24.00000000,0.69708585,13.71792400,509.61706964,533.66003577,0.00964126,0.68046613,DRX_33
5.00000000,1.00000000,1.00000000,24.00000000,0.80492541,11.87294800,271.17609336,272.62045193,0.00492524,0.46265202,DRX_33
5.00000000,3.00000000,1.00000000,48.00000000,0.70697409,13.52515300,203.59971159,204.39846165,0.00738544,0.53603926,DRX_33
5.00000000,3.00000000,3.00000000,24.00000000,0.63782757,14.99941900,153.33681754,157.69934547,0.00284904,0.16858461,DRX_33
6.00000000,0.00000000,0.00000000,6.00000000,0.69708585,13.71792400,509.61697791,533.65994337,0.00241031,0.17011651,DRX_33
6.00000000,2.00000000,0.00000000,24.00000000,0.66131370,14.46382400,462.92434594,462.69063996,0.00835910,0.53140379,DRX_33
6.00000000,2.00000000,2.00000000,24.00000000,0.63053787,15.17384400,398.70468907,404.51052433,0.00730800,0.42268924,DRX_33
