h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
0.00000000,0.00000000,1.00000000,2.00000000,4.77115530,1.99956430,21818.92540083,25921.75670552,0.00873182,28.51462300,Li4MgWO6_SG12
0.00000000,0.00000000,2.00000000,2.00000000,2.38557760,3.99973770,7744.94436137,8266.38402900,0.00278456,2.27435600,Li4MgWO6_SG12
0.00000000,0.00000000,3.00000000,2.00000000,1.59038510,6.00113100,9800.11681743,10335.67869341,0.00348160,1.26483100,Li4MgWO6_SG12
0.00000000,0.00000000,4.00000000,2.00000000,1.19278880,8.00435870,22094.92983419,21864.68813444,0.00736519,1.50669960,Li4MgWO6_SG12
0.00000000,0.00000000,5.00000000,2.00000000,0.95423105,10.01004000,10530.16657576,11025.87781747,0.00371410,0.48694382,Li4MgWO6_SG12
0.00000000,0.00000000,6.00000000,2.00000000,0.79519255,12.01880000,4796.94976425,5220.30627435,0.00175848,0.16037536,Li4MgWO6_SG12
0.00000000,0.00000000,7.00000000,2.00000000,0.68159361,14.03127500,3328.64612967,3212.93392083,0.00108229,0.07266510,Li4MgWO6_SG12
0.00000000,2.00000000,0.00000000,2.00000000,4.39394130,2.17124390,20336.35196173,17188.67310714,0.00579006,16.15492700,Li4MgWO6_SG12
0.00000000,2.00000000,1.00000000,4.00000000,3.23212560,2.95186630,15783.51640560,15083.19017005,0.01016164,15.29167500,Li4MgWO6_SG12
0.00000000,2.00000000,2.00000000,4.00000000,2.09651400,4.55148690,11951.97235781,11177.70373212,0.00753049,4.75921470,Li4MgWO6_SG12
0.00000000,2.00000000,3.00000000,4.00000000,1.49544190,6.38251570,9400.79401528,8904.11381924,0.00599875,1.92883360,Li4MgWO6_SG12
0.00000000,2.00000000,4.00000000,4.00000000,1.15112840,8.29454220,7597.31753350,7717.11104577,0.00519906,0.99125354,Li4MgWO6_SG12
0.00000000,2.00000000,5.00000000,4.00000000,0.93249490,10.24398700,6374.88381146,6652.73470823,0.00448199,0.56143983,Li4MgWO6_SG12
0.00000000,2.00000000,6.00000000,4.00000000,0.78248191,12.21477000,5028.06043340,4987.61519130,0.00336019,0.29685750,Li4MgWO6_SG12
0.00000000,2.00000000,7.00000000,4.00000000,0.67353824,14.19994500,3643.00717534,3590.62942570,0.00241903,0.15865427,Li4MgWO6_SG12
0.00000000,4.00000000,0.00000000,2.00000000,2.19697060,4.34326780,10652.14375653,10751.98316573,0.00362184,2.52769680,Li4MgWO6_SG12
0.00000000,4.00000000,1.00000000,4.00000000,1.99557110,4.78184740,11359.52490605,11543.83708506,0.00777715,4.47311350,Li4MgWO6_SG12
0.00000000,4.00000000,2.00000000,4.00000000,1.61606280,5.90569360,12280.00921091,11629.34266272,0.00783476,2.95046680,Li4MgWO6_SG12
0.00000000,4.00000000,3.00000000,4.00000000,1.28826600,7.41027040,8516.95291909,8589.33642904,0.00578669,1.38386980,Li4MgWO6_SG12
0.00000000,4.00000000,4.00000000,4.00000000,1.04825700,9.11017430,6281.66685978,6346.32756287,0.00427556,0.67714376,Li4MgWO6_SG12
0.00000000,4.00000000,5.00000000,4.00000000,0.87523849,10.91610000,5487.05809839,5471.71520251,0.00368633,0.40736442,Li4MgWO6_SG12
0.00000000,4.00000000,6.00000000,4.00000000,0.74772097,12.78494000,5174.21112712,5070.70216975,0.00341616,0.27590354,Li4MgWO6_SG12
0.00000000,4.00000000,7.00000000,4.00000000,0.65098447,14.69457900,3868.04519241,3913.25839071,0.00263639,0.16168808,Li4MgWO6_SG12
0.00000000,6.00000000,0.00000000,2.00000000,1.46464710,6.51685420,30445.79138002,29585.53769998,0.00996598,3.09402250,Li4MgWO6_SG12
0.00000000,6.00000000,1.00000000,4.00000000,1.40015920,6.81735140,12523.61933169,13453.82624780,0.00906392,2.57039580,Li4MgWO6_SG12
0.00000000,6.00000000,2.00000000,4.00000000,1.24817240,7.64865060,7670.98078361,7602.59902024,0.00512192,1.15321850,Li4MgWO6_SG12
0.00000000,6.00000000,3.00000000,4.00000000,1.07737520,8.86345480,7369.66710408,7756.81880442,0.00522581,0.87611594,Li4MgWO6_SG12
0.00000000,6.00000000,4.00000000,4.00000000,0.92488558,10.32849500,14016.17116643,14951.95330411,0.01007322,1.24461020,Li4MgWO6_SG12
0.00000000,6.00000000,5.00000000,4.00000000,0.79951713,11.95355300,8035.77917443,8365.21622594,0.00563570,0.52068563,Li4MgWO6_SG12
0.00000000,6.00000000,6.00000000,4.00000000,0.69883801,13.68336600,4036.79136174,4180.97741519,0.00281675,0.19906316,Li4MgWO6_SG12
0.00000000,8.00000000,0.00000000,2.00000000,1.09848530,8.69279080,8929.92016192,8872.49362303,0.00298873,0.52258817,Li4MgWO6_SG12
0.00000000,8.00000000,1.00000000,4.00000000,1.07047970,8.92066420,7458.52015938,7574.65762284,0.00510309,0.84719061,Li4MgWO6_SG12
0.00000000,8.00000000,2.00000000,4.00000000,0.99778556,9.57204710,5331.02408585,5261.21336115,0.00354451,0.51100394,Li4MgWO6_SG12
0.00000000,8.00000000,3.00000000,4.00000000,0.90384389,10.56962100,5163.36869599,5102.07504087,0.00343730,0.40649954,Li4MgWO6_SG12
0.00000000,8.00000000,4.00000000,4.00000000,0.80803140,11.82714600,5687.57223242,5729.05754273,0.00385970,0.36484007,Li4MgWO6_SG12
0.00000000,8.00000000,5.00000000,4.00000000,0.72038407,13.27223900,5290.63675632,5429.37547702,0.00365780,0.27497490,Li4MgWO6_SG12
0.00000000,8.00000000,6.00000000,4.00000000,0.64413301,14.85175800,3392.43338896,3470.21302169,0.00233790,0.14066642,Li4MgWO6_SG12
0.00000000,10.00000000,0.00000000,2.00000000,0.87878826,10.87187300,4867.75191824,4865.57322290,0.00163898,0.18371035,Li4MgWO6_SG12
0.00000000,10.00000000,1.00000000,4.00000000,0.86425063,11.05531400,5357.30829929,5423.79620987,0.00365404,0.39610112,Li4MgWO6_SG12
0.00000000,10.00000000,2.00000000,4.00000000,0.82461711,11.58844200,6380.71482094,6344.36320458,0.00427424,0.42173576,Li4MgWO6_SG12
0.00000000,10.00000000,3.00000000,4.00000000,0.76917425,12.42692600,5088.49668229,5007.52218377,0.00337360,0.28959481,Li4MgWO6_SG12
0.00000000,10.00000000,4.00000000,4.00000000,0.70750443,13.51496800,3628.93317406,3670.25966200,0.00247268,0.17962581,Li4MgWO6_SG12
0.00000000,10.00000000,5.00000000,4.00000000,0.64642512,14.79880100,3406.28540479,3368.09233183,0.00226910,0.13768937,Li4MgWO6_SG12
0.00000000,12.00000000,0.00000000,2.00000000,0.73232355,13.05490600,10604.98747740,10159.44857893,0.00342224,0.26691500,Li4MgWO6_SG12
0.00000000,12.00000000,1.00000000,4.00000000,0.72384660,13.20846800,5670.51065336,5806.84981083,0.00391211,0.29809472,Li4MgWO6_SG12
0.00000000,12.00000000,2.00000000,4.00000000,0.70007958,13.65898300,3922.28826975,4032.53562806,0.00271674,0.19363960,Li4MgWO6_SG12
0.00000000,12.00000000,3.00000000,4.00000000,0.66519038,14.37908400,4162.95985755,4314.89810440,0.00290697,0.18708430,Li4MgWO6_SG12
0.00000000,12.00000000,4.00000000,4.00000000,0.62408620,15.33164500,7453.67473239,7574.01655494,0.00510266,0.28916666,Li4MgWO6_SG12
0.00000000,14.00000000,0.00000000,2.00000000,0.62770590,15.24270800,4751.09701501,4819.48322856,0.00162346,0.09324753,Li4MgWO6_SG12
0.00000000,14.00000000,1.00000000,4.00000000,0.62234302,15.37484900,3773.39191224,3829.83181935,0.00258018,0.14568240,Li4MgWO6_SG12
1.00000000,1.00000000,-7.00000000,4.00000000,0.70860873,13.49380800,3778.72432934,3836.71758439,0.00258482,0.18666964,Li4MgWO6_SG12
1.00000000,1.00000000,-6.00000000,4.00000000,0.83002357,11.51270300,4935.60466968,5070.73691974,0.00341619,0.33759910,Li4MgWO6_SG12
