parameter,value,esd
r_wp,  7.2993686,
r_exp,   9.806944,
gof, 0.74430614,
chebyshev_bkg_bkg0__,  66.569248, 0.16570233
chebyshev_bkg_bkg1__, -4.8344848, 0.22565492
chebyshev_bkg_bkg2__,-0.66496735, 0.21390477
chebyshev_bkg_bkg3__,   2.213737, 0.20546345
chebyshev_bkg_bkg4__, -1.6508455, 0.18348088
chebyshev_bkg_bkg5__,  2.2212184, 0.18534616
DRX_33_scale,7.5276208e-07,2.505488e-08
DRX_33_a,  4.1825151,0.0003962409
DRX_33_size_um,  1285697.8, 0.74430614
DRX_33_size_eta,   0.078125, 0.74430614
DRX_33_strain,  16592.503,  597.43877
DRX_33_strain_eta, 0.31740505,0.078337373
Li4MgWO6_SG12_scale,1.6842649e-07,8.8780901e-10
Li4MgWO6_SG12_a,  5.1331016,0.00023917791
Li4MgWO6_SG12_b,  8.7878826,0.00038081096
Li4MgWO6_SG12_c,  5.1045074,0.00022483466
Li4MgWO6_SG12_beta,  110.82115,0.0037826545
Li4MgWO6_SG12_O1_U11,9.765625e-06,0.0069387817
Li4MgWO6_SG12_O1_U22,1.4648438e-06,0.0054717053
Li4MgWO6_SG12_O1_U33,0.00010456165,0.0064934211
Li4MgWO6_SG12_O1_U12,-0.0099007431,0.0041191509
Li4MgWO6_SG12_O1_U13,0.0079071751,0.0041810113
Li4MgWO6_SG12_O1_U23,-0.0059461887,0.0040571891
Li4MgWO6_SG12_size_um,  261211.12, 0.74430614
Li4MgWO6_SG12_size_eta,     0.0625, 0.74430614
Li4MgWO6_SG12_strain,  5023.5675,  6929.7705
Li4MgWO6_SG12_strain_eta, 0.96057364,  1.3541869
DRX_33_cell_a,  4.1825151,0.0003962409
DRX_33_cell_b,  4.1825151,0.0003962409
DRX_33_cell_c,  4.1825151,0.0003962409
DRX_33_cell_alpha,         90,          0
DRX_33_cell_beta,         90,          0
DRX_33_cell_gamma,         90,          0
DRX_33_cell_volume,  73.166546, 0.02079692
Li4MgWO6_SG12_cell_a,  5.1331016,0.00023917791
Li4MgWO6_SG12_cell_b,  8.7878826,0.00038081096
Li4MgWO6_SG12_cell_c,  5.1045074,0.00022483466
Li4MgWO6_SG12_cell_alpha,         90,          0
Li4MgWO6_SG12_cell_beta,  110.82115,0.0037826545
Li4MgWO6_SG12_cell_gamma,         90,          0
Li4MgWO6_SG12_cell_volume,  215.22249,0.017510723
