two_theta	y_obs	y_weights	y_calc	y_diff	y_bkg	q_values	d_spacings
1.00035600	63.55352400	0.01573477	64.65296500	-1.09944050	64.65296500	0.65885836	9.53647347
1.00407270	63.50993300	0.01574557	64.70580500	-1.19587170	64.70580500	0.66130621	9.50117393
1.00778950	63.50820000	0.01574600	64.75846800	-1.25026760	64.75846800	0.66375412	9.46613382
1.01150620	63.52337100	0.01574224	64.81095300	-1.28758180	64.81095300	0.66620196	9.43135215
1.01522300	63.62173700	0.01571790	64.86326100	-1.24152400	64.86326100	0.66864987	9.39682423
1.01893970	63.66342800	0.01570760	64.91539200	-1.25196440	64.91539200	0.67109771	9.36254913
1.02265640	63.70918000	0.01569633	64.96734700	-1.25816710	64.96734700	0.67354555	9.32852317
1.02637320	63.75105900	0.01568601	65.01912600	-1.26806660	65.01912600	0.67599346	9.29474273
1.03008990	63.76285300	0.01568311	65.07072900	-1.30787550	65.07072900	0.67844130	9.26120698
1.03380670	63.73626500	0.01568966	65.12215600	-1.38589120	65.12215600	0.68088921	9.22791146
1.03752340	63.72168300	0.01569325	65.17340800	-1.45172420	65.17340800	0.68333704	9.19485539
1.04124010	63.74664700	0.01568710	65.22448500	-1.47783800	65.22448500	0.68578488	9.16203531
1.04495690	63.79123100	0.01567614	65.27538800	-1.48415700	65.27538800	0.68823279	9.12944783
1.04867360	63.78524900	0.01567761	65.32611600	-1.54086700	65.32611600	0.69068062	9.09709222
1.05239040	63.77801000	0.01567939	65.37667100	-1.59866060	65.37667100	0.69312852	9.06496429
1.05610710	63.76014600	0.01568378	65.42705200	-1.66690590	65.42705200	0.69557636	9.03306335
1.05982390	63.82467300	0.01566792	65.47726000	-1.65258690	65.47726000	0.69802426	9.00138532
1.06354060	63.87523800	0.01565552	65.52729500	-1.65205680	65.52729500	0.70047209	8.96992954
1.06725730	63.89000400	0.01565190	65.57715700	-1.68715250	65.57715700	0.70291992	8.93869286
1.07097410	63.88349800	0.01565349	65.62684700	-1.74334940	65.62684700	0.70536782	8.90767216
1.07469080	63.91002800	0.01564700	65.67636600	-1.76633780	65.67636600	0.70781565	8.87686685
1.07840760	63.93765800	0.01564023	65.72571300	-1.78805480	65.72571300	0.71026355	8.84627306
1.08212430	63.97933600	0.01563005	65.77488800	-1.79555230	65.77488800	0.71271138	8.81589026
1.08584100	64.01213700	0.01562204	65.82389300	-1.81175560	65.82389300	0.71515921	8.78571545
1.08955780	64.04858900	0.01561315	65.87272700	-1.82413770	65.87272700	0.71760710	8.75574571
1.09327450	64.04461000	0.01561412	65.92139100	-1.87678030	65.92139100	0.72005493	8.72598054
1.09699130	64.03385700	0.01561674	65.96988400	-1.93602780	65.96988400	0.72250282	8.69641628
1.10070800	64.03424600	0.01561664	66.01820900	-1.98396300	66.01820900	0.72495065	8.66705247
1.10442480	64.03913800	0.01561545	66.06636400	-2.02722640	66.06636400	0.72739854	8.63788551
1.10814150	64.09901800	0.01560086	66.11435000	-2.01533190	66.11435000	0.72984636	8.60891500
1.11185820	64.12874600	0.01559363	66.16216700	-2.03342140	66.16216700	0.73229419	8.58013816
1.11557500	64.13412200	0.01559232	66.20981700	-2.07569440	66.20981700	0.73474208	8.55155232
1.11929170	64.10310000	0.01559987	66.25729800	-2.15419790	66.25729800	0.73718990	8.52315709
1.12300850	64.18815200	0.01557920	66.30461100	-2.11645890	66.30461100	0.73963779	8.49494905
1.12672520	64.26811000	0.01555982	66.35175700	-2.08364780	66.35175700	0.74208561	8.46692788
1.13044190	64.35029300	0.01553994	66.39873700	-2.04844310	66.39873700	0.74453343	8.43909096
1.13415870	64.39711800	0.01552865	66.44554900	-2.04843160	66.44554900	0.74698131	8.41143575
1.13787540	64.46289300	0.01551280	66.49219500	-2.02930210	66.49219500	0.74942913	8.38396196
1.14159220	64.44569400	0.01551694	66.53867500	-2.09298140	66.53867500	0.75187701	8.35666632
1.14530890	64.46476000	0.01551235	66.58499000	-2.12022980	66.58499000	0.75432483	8.32954858
1.14902570	64.47161600	0.01551070	66.63113900	-2.15952250	66.63113900	0.75677271	8.30260555
1.15274240	64.50258600	0.01550325	66.67712200	-2.17453610	66.67712200	0.75922053	8.27583698
1.15645910	64.50706200	0.01550218	66.72294200	-2.21587920	66.72294200	0.76166834	8.24924048
1.16017590	64.50879200	0.01550176	66.76859600	-2.25980470	66.76859600	0.76411622	8.22281369
1.16389260	64.52504700	0.01549786	66.81408700	-2.28903950	66.81408700	0.76656403	8.19655638
1.16760940	64.56875600	0.01548737	66.85941400	-2.29065740	66.85941400	0.76901191	8.17046554
1.17132610	64.59714500	0.01548056	66.90457700	-2.30743170	66.90457700	0.77145972	8.14454097
1.17504280	64.65987700	0.01546554	66.94957700	-2.28970030	66.94957700	0.77390753	8.11878042
1.17875960	64.68499200	0.01545954	66.99441400	-2.30942160	66.99441400	0.77635541	8.09318162
1.18247630	64.73624700	0.01544730	67.03908900	-2.30284200	67.03908900	0.77880321	8.06774444
1.18619310	64.73062600	0.01544864	67.08360100	-2.35297490	67.08360100	0.78125109	8.04246599
1.18990980	64.76161400	0.01544125	67.12795200	-2.36633740	67.12795200	0.78369890	8.01734613
1.19362660	64.79802700	0.01543257	67.17214100	-2.37411380	67.17214100	0.78614677	7.99238204
1.19734330	64.81764200	0.01542790	67.21616900	-2.39852630	67.21616900	0.78859457	7.96757361
1.20106000	64.83407600	0.01542399	67.26003500	-2.42595940	67.26003500	0.79104238	7.94291872
1.20477680	64.84785000	0.01542071	67.30374100	-2.45589190	67.30374100	0.79349025	7.91841530
1.20849350	64.82965300	0.01542504	67.34728700	-2.51763380	67.34728700	0.79593805	7.89406325
1.21221030	64.81783500	0.01542785	67.39067300	-2.57283760	67.39067300	0.79838592	7.86985989
1.21592700	64.84536700	0.01542130	67.43389900	-2.58853190	67.43389900	0.80083372	7.84580514
1.21964370	64.90968800	0.01540602	67.47696600	-2.56727770	67.47696600	0.80328152	7.82189701
1.22336050	64.94541200	0.01539755	67.51987400	-2.57446200	67.51987400	0.80572938	7.79813351
1.22707720	64.95144100	0.01539612	67.56262300	-2.61118120	67.56262300	0.80817718	7.77451460
1.23079400	65.00423900	0.01538361	67.60521300	-2.60097370	67.60521300	0.81062505	7.75103771
1.23451070	65.03551200	0.01537622	67.64764600	-2.61213320	67.64764600	0.81307284	7.72770282
1.23822740	65.06271100	0.01536979	67.68992000	-2.62720900	67.68992000	0.81552064	7.70450802
1.24194420	65.07977000	0.01536576	67.73203700	-2.65226680	67.73203700	0.81796850	7.68145143
1.24566090	65.15730000	0.01534747	67.77399700	-2.61669680	67.77399700	0.82041629	7.65853305
1.24937770	65.26106000	0.01532307	67.81580000	-2.55474000	67.81580000	0.82286415	7.63575042
1.25309440	65.32698600	0.01530761	67.85744700	-2.53046080	67.85744700	0.82531195	7.61310355
1.25681120	65.35081700	0.01530203	67.89893700	-2.54811930	67.89893700	0.82775980	7.59059002
1.26052790	65.37970500	0.01529527	67.94027100	-2.56056610	67.94027100	0.83020759	7.56820986
1.26424460	65.40414700	0.01528955	67.98144900	-2.57730260	67.98144900	0.83265538	7.54596130
1.26796140	65.41257500	0.01528758	68.02247300	-2.60989800	68.02247300	0.83510324	7.52384257
1.27167810	65.39624300	0.01529140	68.06334100	-2.66709830	68.06334100	0.83755103	7.50185373
1.27539490	65.39892100	0.01529077	68.10405500	-2.70513390	68.10405500	0.83999888	7.47999247
1.27911160	65.44289400	0.01528050	68.14461400	-2.70171980	68.14461400	0.84244667	7.45825884
1.28282830	65.48505700	0.01527066	68.18501900	-2.69996220	68.18501900	0.84489445	7.43665115
1.28654510	65.50426500	0.01526618	68.22527000	-2.72100520	68.22527000	0.84734230	7.41516773
1.29026180	65.51133700	0.01526453	68.26536800	-2.75403050	68.26536800	0.84979009	7.39380866
1.29397860	65.54965700	0.01525561	68.30531200	-2.75565520	68.30531200	0.85223794	7.37257172
1.29769530	65.59134200	0.01524592	68.34510400	-2.75376260	68.34510400	0.85468572	7.35145700
1.30141200	65.60241400	0.01524334	68.38474300	-2.78232900	68.38474300	0.85713350	7.33046289
1.30512880	65.62904900	0.01523716	68.42423000	-2.79518170	68.42423000	0.85958135	7.30958779
1.30884550	65.65845700	0.01523033	68.46356500	-2.80510790	68.46356500	0.86202912	7.28883181
1.31256230	65.73981200	0.01521148	68.50274900	-2.76293640	68.50274900	0.86447697	7.26819283
1.31627900	65.80240900	0.01519701	68.54178100	-2.73937180	68.54178100	0.86692475	7.24767096
1.31999570	65.85288000	0.01518536	68.58066200	-2.72778180	68.58066200	0.86937252	7.22726465
1.32371250	65.88899200	0.01517704	68.61939200	-2.73039960	68.61939200	0.87182036	7.20697240
1.32742920	65.95211000	0.01516252	68.65797200	-2.70586150	68.65797200	0.87426814	7.18679433
1.33114600	66.00796000	0.01514969	68.69640200	-2.68844150	68.69640200	0.87671598	7.16672840
1.33486270	66.03831000	0.01514273	68.73468100	-2.69637170	68.73468100	0.87916375	7.14677475
1.33857950	66.01788600	0.01514741	68.77281200	-2.75492590	68.77281200	0.88161159	7.12693138
1.34229620	65.99540200	0.01515257	68.81079300	-2.81539090	68.81079300	0.88405936	7.10719844
1.34601290	65.94015500	0.01516527	68.84862500	-2.90847010	68.84862500	0.88650713	7.08757447
1.34972970	65.90464500	0.01517344	68.88630900	-2.98166350	68.88630900	0.88895497	7.06805805
1.35344640	65.87381700	0.01518054	68.92384400	-3.05002680	68.92384400	0.89140273	7.04864935
1.35716320	65.88477300	0.01517801	68.96123200	-3.07645830	68.96123200	0.89385057	7.02934644
1.36087990	65.95730800	0.01516132	68.99847100	-3.04116270	68.99847100	0.89629833	7.01014949
1.36459660	66.01907100	0.01514714	69.03556300	-3.01649240	69.03556300	0.89874610	6.99105711
1.36831340	66.07517000	0.01513428	69.07250800	-2.99733860	69.07250800	0.90119393	6.97206794
1.37203010	66.10054800	0.01512847	69.10930700	-3.00875900	69.10930700	0.90364169	6.95318217
1.37574690	66.12384500	0.01512314	69.14595900	-3.02211310	69.14595900	0.90608952	6.93439794
1.37946360	66.17130500	0.01511229	69.18246400	-3.01115880	69.18246400	0.90853728	6.91571543
1.38318040	66.26813500	0.01509021	69.21882400	-2.95068890	69.21882400	0.91098511	6.89713283
1.38689710	66.35948400	0.01506944	69.25503800	-2.89555370	69.25503800	0.91343287	6.87865033
1.39061380	66.38979600	0.01506256	69.29110700	-2.90131080	69.29110700	0.91588063	6.86026663
1.39433060	66.38357800	0.01506397	69.32703000	-2.94345250	69.32703000	0.91832845	6.84198044
1.39804730	66.37139100	0.01506673	69.36281000	-2.99141820	69.36281000	0.92077621	6.82379198
1.40176410	66.36495000	0.01506819	69.39844400	-3.03349460	69.39844400	0.92322403	6.80569948
1.40548080	66.38270300	0.01506416	69.43393500	-3.05123150	69.43393500	0.92567179	6.78770317
1.40919760	66.40978500	0.01505802	69.46928100	-3.05949640	69.46928100	0.92811960	6.76980130
1.41291430	66.44280000	0.01505054	69.50448400	-3.06168460	69.50448400	0.93056736	6.75199410
1.41663100	66.45095100	0.01504869	69.53954400	-3.08859370	69.53954400	0.93301511	6.73428034
1.42034780	66.47029100	0.01504432	69.57446100	-3.10417010	69.57446100	0.93546293	6.71665881
1.42406450	66.47866600	0.01504242	69.60923600	-3.13056990	69.60923600	0.93791068	6.69912974
1.42778130	66.51808700	0.01503351	69.64386800	-3.12578080	69.64386800	0.94035849	6.68169147
1.43149800	66.57106000	0.01502154	69.67835700	-3.10729720	69.67835700	0.94280624	6.66434421
1.43521470	66.63749200	0.01500657	69.71270600	-3.07521380	69.71270600	0.94525399	6.64708681
1.43893150	66.67744200	0.01499758	69.74691200	-3.06947030	69.74691200	0.94770180	6.62991810
1.44264820	66.71731800	0.01498861	69.78097800	-3.06365950	69.78097800	0.95014954	6.61283832
1.44636500	66.77349900	0.01497600	69.81490200	-3.04140380	69.81490200	0.95259735	6.59584586
1.45008170	66.82025700	0.01496552	69.84868600	-3.02842980	69.84868600	0.95504510	6.57894096
1.45379840	66.82828000	0.01496373	69.88233000	-3.05404990	69.88233000	0.95749284	6.56212251
1.45751520	66.80318500	0.01496935	69.91583400	-3.11264920	69.91583400	0.95994065	6.54538938
1.46123190	66.84619400	0.01495972	69.94919800	-3.10300370	69.94919800	0.96238839	6.52874183
1.46494870	66.90045400	0.01494758	69.98242200	-3.08196810	69.98242200	0.96483619	6.51217831
1.46866540	66.95222700	0.01493602	70.01550800	-3.06328040	70.01550800	0.96728393	6.49569907
1.47238220	67.02353400	0.01492013	70.04845400	-3.02492010	70.04845400	0.96973173	6.47930258
1.47609890	67.11514000	0.01489977	70.08126200	-2.96612190	70.08126200	0.97217947	6.46298911
1.47981560	67.18864900	0.01488347	70.11393200	-2.92528250	70.11393200	0.97462720	6.44675759
1.48353240	67.19904300	0.01488116	70.14646400	-2.94742040	70.14646400	0.97707500	6.43060696
1.48724910	67.21830700	0.01487690	70.17885800	-2.96055030	70.17885800	0.97952273	6.41453750
1.49096590	67.25626600	0.01486850	70.21111500	-2.95484830	70.21111500	0.98197053	6.39854772
1.49468260	67.29120100	0.01486078	70.24323400	-2.95203280	70.24323400	0.98441826	6.38263789
1.49839930	67.33819800	0.01485041	70.27521700	-2.93701850	70.27521700	0.98686599	6.36680700
1.50211610	67.38042500	0.01484111	70.30706300	-2.92663850	70.30706300	0.98931379	6.35105402
1.50583280	67.43048900	0.01483009	70.33877300	-2.90828440	70.33877300	0.99176151	6.33537923
1.50954960	67.51157400	0.01481227	70.37034700	-2.85877320	70.37034700	0.99420931	6.31978122
1.51326630	67.56953200	0.01479957	70.40178500	-2.83225360	70.40178500	0.99665703	6.30426024
1.51698300	67.65393600	0.01478111	70.43308800	-2.77915250	70.43308800	0.99910476	6.28881532
1.52069980	67.70159100	0.01477070	70.46425600	-2.76266470	70.46425600	1.00155255	6.27344549
1.52441650	67.74562300	0.01476110	70.49528900	-2.74966590	70.49528900	1.00400027	6.25815102
1.52813330	67.82090300	0.01474472	70.52618800	-2.70528520	70.52618800	1.00644806	6.24293054
1.53185000	67.88873000	0.01472998	70.55695200	-2.66822150	70.55695200	1.00889578	6.22778433
1.53556680	67.93344900	0.01472029	70.58758200	-2.65413340	70.58758200	1.01134356	6.21271103
1.53928350	68.01042200	0.01470363	70.61807900	-2.60765700	70.61807900	1.01379128	6.19771094
1.54300020	68.09896100	0.01468451	70.64844200	-2.54948110	70.64844200	1.01623900	6.18278311
1.54671700	68.19107300	0.01466468	70.67867200	-2.48759910	70.67867200	1.01868678	6.16792662
1.55043370	68.25867200	0.01465015	70.70876900	-2.45009730	70.70876900	1.02113449	6.15314177
1.55415050	68.33078800	0.01463469	70.73873400	-2.40794650	70.73873400	1.02358227	6.13842723
1.55786720	68.35701800	0.01462908	70.76856700	-2.41154910	70.76856700	1.02602999	6.12378331
1.56158390	68.41638700	0.01461638	70.79826700	-2.38188020	70.79826700	1.02847770	6.10920909
1.56530070	68.49450700	0.01459971	70.82783600	-2.33332900	70.82783600	1.03092548	6.09470370
1.56901740	68.59051500	0.01457927	70.85727300	-2.26675810	70.85727300	1.03337318	6.08026742
1.57273420	68.68532300	0.01455915	70.88657900	-2.20125640	70.88657900	1.03582096	6.06589899
1.57645090	68.78370700	0.01453833	70.91575500	-2.13204830	70.91575500	1.03826867	6.05159869
1.58016760	68.85803200	0.01452263	70.94480000	-2.08676750	70.94480000	1.04071637	6.03736568
1.58388440	68.93941800	0.01450549	70.97371400	-2.03429680	70.97371400	1.04316414	6.02319908
1.58760110	69.03809900	0.01448476	71.00249900	-1.96440010	71.00249900	1.04561185	6.00909919
1.59131790	69.10172000	0.01447142	71.03115400	-1.92943340	71.03115400	1.04805962	5.99506479
1.59503460	69.12530800	0.01446648	71.05967900	-1.93437120	71.05967900	1.05050732	5.98109618
1.59875130	69.18938200	0.01445308	71.08807500	-1.89869310	71.08807500	1.05295502	5.96719251
1.60246810	69.26266700	0.01443779	71.11634200	-1.85367500	71.11634200	1.05540279	5.95335297
1.60618480	69.32870500	0.01442404	71.14448100	-1.81577610	71.14448100	1.05785048	5.93957785
1.60990160	69.42036900	0.01440499	71.17249100	-1.75212180	71.17249100	1.06029825	5.92586598
1.61361830	69.53001400	0.01438228	71.20037300	-1.67035940	71.20037300	1.06274594	5.91221763
1.61733510	69.62256900	0.01436316	71.22812800	-1.60555910	71.22812800	1.06519370	5.89863166
1.62105180	69.69811200	0.01434759	71.25575500	-1.55764230	71.25575500	1.06764140	5.88510835
1.62476850	69.81504600	0.01432356	71.28325500	-1.46820890	71.28325500	1.07008909	5.87164691
1.62848530	69.93238100	0.01429953	71.31062700	-1.37824660	71.31062700	1.07253685	5.85824656
1.63220200	70.05450400	0.01427460	71.33787300	-1.28336900	71.33787300	1.07498454	5.84490760
1.63591880	70.14863300	0.01425545	71.36499300	-1.21635970	71.36499300	1.07743230	5.83162889
1.63963550	70.23792800	0.01423732	71.39198700	-1.15405880	71.39198700	1.07987998	5.81841075
1.64335220	70.34806600	0.01421503	71.41885400	-1.07078850	71.41885400	1.08232767	5.80525239
1.64706900	70.53187600	0.01417799	71.44559600	-0.91372069	71.44559600	1.08477542	5.79215307
1.65078570	70.68775400	0.01414672	71.47221300	-0.78445877	71.47221300	1.08722311	5.77911310
1.65450250	70.82396200	0.01411951	71.49870500	-0.67474293	71.49870500	1.08967086	5.76613136
1.65821920	70.95310200	0.01409382	71.52507200	-0.57196977	71.52507200	1.09211854	5.75320816
1.66193600	71.11410300	0.01406191	71.55131400	-0.43721170	71.55131400	1.09456629	5.74034243
1.66565270	71.27765700	0.01402964	71.57743300	-0.29977610	71.57743300	1.09701397	5.72753445
1.66936940	71.39332100	0.01400691	71.60342700	-0.21010628	71.60342700	1.09946165	5.71478352
1.67308620	71.50361600	0.01398531	71.62929800	-0.12568135	71.62929800	1.10190939	5.70208889
1.67680290	71.63476300	0.01395970	71.65504500	-0.02028188	71.65504500	1.10435707	5.68945088
1.68051970	71.79054800	0.01392941	71.68066900	0.10987858	71.68066900	1.10680481	5.67686844
1.68423640	71.93357100	0.01390172	71.70617000	0.22740045	71.70617000	1.10925249	5.66434187
1.68795320	72.03586300	0.01388197	71.73154900	0.30431405	71.73154900	1.11170023	5.65187014
1.69166990	72.12263200	0.01386527	71.75680600	0.36582674	71.75680600	1.11414790	5.63945354
1.69538660	72.18414100	0.01385346	71.78194000	0.40220056	71.78194000	1.11659557	5.62709138
1.69910340	72.25455700	0.01383996	71.80695300	0.44760475	71.80695300	1.11904331	5.61478298
