parameter_name,descriptive_name,phase_name,phase_idx,atom_name,atom_idx,value,esd,category
chebyshev_bkg_bkg0__,background_coefficient_0,,,,,66.569248,0.16570233,background
chebyshev_bkg_bkg1__,background_coefficient_1,,,,,-4.8344848,0.22565492,background
chebyshev_bkg_bkg2__,background_coefficient_2,,,,,-0.66496735,0.21390477,background
chebyshev_bkg_bkg3__,background_coefficient_3,,,,,2.213737,0.20546345,background
chebyshev_bkg_bkg4__,background_coefficient_4,,,,,-1.6508455,0.18348088,background
chebyshev_bkg_bkg5__,background_coefficient_5,,,,,2.2212184,0.18534616,background
DRX_33_scale,phase_0_scale_factor,DRX_33,0,,,7.5276208e-07,2.505488e-08,scale
DRX_33_a,cell_a,DRX_33,0,,,4.1825151,0.0003962409,cell
DRX_33_size_um,size_isotropic_um,DRX_33,0,,,1285697.8,0.74430614,size_broadening
DRX_33_size_eta,size_LG_eta,DRX_33,0,,,0.078125,0.74430614,size_broadening
DRX_33_strain,strain_isotropic,DRX_33,0,,,16592.503,597.43877,strain_broadening
DRX_33_strain_eta,strain_LG_eta,DRX_33,0,,,0.31740505,0.078337373,strain_broadening
Li4MgWO6_SG12_scale,phase_1_scale_factor,Li4MgWO6_SG12,1,,,1.6842649e-07,8.8780901e-10,scale
Li4MgWO6_SG12_a,cell_a,Li4MgWO6_SG12,1,,,5.1331016,0.00023917791,cell
Li4MgWO6_SG12_b,cell_b,Li4MgWO6_SG12,1,,,8.7878826,0.00038081096,cell
Li4MgWO6_SG12_c,cell_c,Li4MgWO6_SG12,1,,,5.1045074,0.00022483466,cell
Li4MgWO6_SG12_beta,cell_beta,Li4MgWO6_SG12,1,,,110.82115,0.0037826545,cell
Li4MgWO6_SG12_O1_U11,O1_U11,Li4MgWO6_SG12,1,O1,,9.765625e-06,0.0069387817,atom_adp
Li4MgWO6_SG12_O1_U22,O1_U22,Li4MgWO6_SG12,1,O1,,1.4648438e-06,0.0054717053,atom_adp
Li4MgWO6_SG12_O1_U33,O1_U33,Li4MgWO6_SG12,1,O1,,0.00010456165,0.0064934211,atom_adp
Li4MgWO6_SG12_O1_U12,O1_U12,Li4MgWO6_SG12,1,O1,,-0.0099007431,0.0041191509,atom_adp
Li4MgWO6_SG12_O1_U13,O1_U13,Li4MgWO6_SG12,1,O1,,0.0079071751,0.0041810113,atom_adp
Li4MgWO6_SG12_O1_U23,O1_U23,Li4MgWO6_SG12,1,O1,,-0.0059461887,0.0040571891,atom_adp
Li4MgWO6_SG12_size_um,size_isotropic_um,Li4MgWO6_SG12,1,,,261211.12,0.74430614,size_broadening
Li4MgWO6_SG12_size_eta,size_LG_eta,Li4MgWO6_SG12,1,,,0.0625,0.74430614,size_broadening
Li4MgWO6_SG12_strain,strain_isotropic,Li4MgWO6_SG12,1,,,5023.5675,6929.7705,strain_broadening
Li4MgWO6_SG12_strain_eta,strain_LG_eta,Li4MgWO6_SG12,1,,,0.96057364,1.3541869,strain_broadening
