h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,1.00000000,1.00000000,8.00000000,2.41471069,3.95146224,16.13096335,8.84696966,118.51024277,146.84193901,0.00000000,5.32663464,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,6.00000000,2.09120080,4.56305719,21.11425606,10.24827528,439.59994780,394.99858581,0.00000000,2.99677906,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,12.00000000,1.47870227,6.45484507,41.08411475,14.58689195,434.75650130,290.41347240,0.00000000,2.99897110,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,24.00000000,1.26104153,7.57048048,56.10162452,17.14909615,106.88679901,107.68574713,0.00000000,4.36453680,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,8.00000000,1.20735535,7.90763289,61.11524802,17.92403490,242.78217428,230.25554879,-0.00000000,1.33385294,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,6.00000000,1.04560040,9.13336993,81.20906913,20.74411227,174.95026293,178.47191827,0.00000000,0.75084329,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,24.00000000,0.95950873,9.95484109,96.32102555,22.63673319,63.10948963,70.28879960,0.00000000,2.53055169,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,24.00000000,0.93521343,10.21412975,101.36631343,23.23459838,157.97883279,150.12013581,0.00000000,2.40446657,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,2.00000000,24.00000000,0.85372915,11.19199338,121.58750895,25.49156548,132.72760088,129.55212852,-0.00000000,2.00519956,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,3.00000000,8.00000000,0.80490356,11.87327106,136.79564049,27.06619850,47.48086252,50.47395651,0.00000000,0.59446231,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,1.00000000,24.00000000,0.80490356,11.87327106,136.79564049,27.06619850,47.48086252,50.47395651,-0.00000000,1.78338692,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,12.00000000,0.73935113,12.93028571,162.22347248,29.51315424,112.62562700,102.15030124,0.00000000,0.75306246,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,1.00000000,48.00000000,0.70695490,13.52552200,177.52899731,30.89332621,34.80138651,37.38205780,-0.00000000,2.75558866,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,2.00000000,24.00000000,0.69706693,13.71829826,182.63901057,31.34067555,85.07115293,92.72006295,0.00000000,1.33977079,1.00000000,1.00000000,1.00000000
6.00000000,0.00000000,0.00000000,6.00000000,0.69706693,13.71829826,182.63901057,31.34067555,85.07115293,92.72006295,0.00000000,0.33494270,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,0.00000000,24.00000000,0.66129576,14.46421874,203.12006953,33.07335514,70.39719000,85.14395946,-0.00000000,1.20668995,1.00000000,1.00000000,1.00000000
