h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
0.00000000,0.00000000,1.00000000,2.00000000,4.77626621,1.99742434,1.22073216,1.08254182,27341.53805359,26164.71789675,0.00000000,0.09157756,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,0.00000000,2.00000000,4.39042597,2.17298256,1.23099654,1.12922946,26664.38895328,18582.83003447,0.00000000,0.07738138,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,0.00000000,4.00000000,4.21578656,2.26301006,1.23656566,1.15317276,24261.92719504,19972.43509969,180.00000000,0.14269754,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-1.00000000,4.00000000,3.82251837,2.49586808,1.25193110,1.21510770,26784.87753306,16495.75593936,180.00000000,0.11732087,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,1.00000000,4.00000000,3.23231111,2.95169679,1.28602277,1.33637073,21504.52712341,16786.73986167,0.00000000,0.08389580,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,4.00000000,2.75488379,3.46337652,1.33062474,1.47253186,17571.13211676,11848.29202249,180.00000000,0.06094954,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-1.00000000,2.00000000,2.55076599,3.74061821,1.35759163,1.54632720,10520.23253078,15216.21915385,0.00000000,0.02612796,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,0.00000000,4.00000000,2.49982500,3.81687178,1.36535403,1.56662671,17225.85968037,22683.19054914,180.00000000,0.05019058,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-2.00000000,4.00000000,2.43770564,3.91417342,1.37547549,1.59253111,5945.07149411,7347.35937888,180.00000000,0.04772842,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-1.00000000,4.00000000,2.40984578,3.95944250,1.38026717,1.60458364,9113.08582838,7408.45115078,180.00000000,0.04664428,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,2.00000000,2.40295841,3.97079561,1.38147713,1.60760638,12001.29575332,10597.03033362,0.00000000,0.02318910,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,2.00000000,2.00000000,2.38813311,3.99545589,1.38411668,1.61417222,8893.58139291,10145.23717886,0.00000000,0.02290400,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,0.00000000,2.00000000,2.19521299,4.34674699,1.42341136,1.70771774,20309.67715168,13717.29138116,0.00000000,0.01935496,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-1.00000000,4.00000000,2.20554992,4.32636502,1.42104495,1.70228949,6609.97615421,6158.11119646,0.00000000,0.03907509,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,4.00000000,2.10789328,4.52690330,1.44479171,1.75570202,25787.93543608,19985.37707545,0.00000000,0.03569361,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,2.00000000,4.00000000,2.09786477,4.54855479,1.44741733,1.76146934,32473.18076655,19778.32744795,0.00000000,0.03535503,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-2.00000000,2.00000000,2.12297569,4.49472593,1.44091189,1.74713111,15940.91681249,27773.53439799,0.00000000,0.01810293,1.00000000,1.00000000,1.00000000
