parameter_name,descriptive_name,phase_name,phase_idx,atom_name,atom_idx,value,esd,category
0::AUiso:0,phase_0_atom_0_isotropic_displacement,DRX_33,0,Li,0,-5.068297e-01,1.30826141e-01,atom_displacement_isotropic
0::AUiso:1,phase_0_atom_1_isotropic_displacement,DRX_33,0,Mg,1,-2.652463e+00,1.13058493e-01,atom_displacement_isotropic
0::AUiso:2,phase_0_atom_2_isotropic_displacement,DRX_33,0,Mn1,2,-6.033683e-02,5.35573484e-02,atom_displacement_isotropic
0::AUiso:3,phase_0_atom_3_isotropic_displacement,DRX_33,0,O1,3,-8.128700e-03,4.39677630e-03,atom_displacement_isotropic
0::AUiso:4,phase_0_atom_4_isotropic_displacement,DRX_33,0,W,4,-2.598233e-03,5.31617959e-02,atom_displacement_isotropic
0::Afrac:0,phase_0_atom_0_occupancy,DRX_33,0,Li,0,8.220037e-01,3.14131993e-01,atom_occupancy
0::Afrac:1,phase_0_atom_1_occupancy,DRX_33,0,Mg,1,6.779422e-02,1.10367883e-01,atom_occupancy
0::Afrac:2,phase_0_atom_2_occupancy,DRX_33,0,Mn1,2,5.648722e-03,1.03812329e-01,atom_occupancy
0::Afrac:3,phase_0_atom_3_occupancy,DRX_33,0,O1,3,1.938807e-01,1.24290276e-02,atom_occupancy
0::Afrac:4,phase_0_atom_4_occupancy,DRX_33,0,W,4,3.296382e-02,2.08341341e-02,atom_occupancy
:0:Back;0,background_coefficient_0,,,,,6.894783e+01,4.84102847e-01,background
:0:Back;1,background_coefficient_1,,,,,-7.957490e-01,6.19490300e-01,background
:0:Back;2,background_coefficient_2,,,,,-1.544763e+00,5.81988261e-01,background
:0:Back;3,background_coefficient_3,,,,,1.315384e+00,5.57010504e-01,background
:0:Back;4,background_coefficient_4,,,,,5.371300e-01,5.02147717e-01,background
:0:Back;5,background_coefficient_5,,,,,1.096060e+00,5.23352712e-01,background
0:0:Mustrain;i,phase_0_mustrain_i,DRX_33,0,,,-2.173763e+02,1.20592646e+01,other
0:0:Mustrain;mx,phase_0_mustrain_mx,DRX_33,0,,,-2.105216e+02,1.08912924e+01,other
0:0:Size;i,phase_0_crystallite_size_i,DRX_33,0,,,3.254935e+00,3.73743809e-01,other
0:0:Size;mx,phase_0_crystallite_size_mx,DRX_33,0,,,-1.635647e+01,1.05521227e+00,other
1:0:Mustrain;i,phase_1_mustrain_i,Li4MgWO6_SG12,1,,,3.018255e+02,9.35426656e+00,other
1:0:Mustrain;mx,phase_1_mustrain_mx,Li4MgWO6_SG12,1,,,1.760977e+01,2.09282599e+00,other
1:0:Size;i,phase_1_crystallite_size_i,Li4MgWO6_SG12,1,,,1.124229e+01,3.36455827e+00,other
1:0:Size;mx,phase_1_crystallite_size_mx,Li4MgWO6_SG12,1,,,3.183433e+01,1.41892526e+01,other
1::dAx:4,phase_1_atom_4_dAx,Li4MgWO6_SG12,1,O1,4,-6.359251e-03,4.90740061e-03,phase_other
1::dAx:5,phase_1_atom_5_dAx,Li4MgWO6_SG12,1,O2,5,9.698856e-02,7.75263104e-03,phase_other
1::dAy:0,phase_1_atom_0_dAy,Li4MgWO6_SG12,1,Li1,0,1.522644e-01,1.15247975e-02,phase_other
1::dAy:1,phase_1_atom_1_dAy,Li4MgWO6_SG12,1,Li2,1,-3.463720e-02,3.05329046e-02,phase_other
1::dAy:3,phase_1_atom_3_dAy,Li4MgWO6_SG12,1,Mg,3,-2.884882e-02,6.13002924e-03,phase_other
1::dAy:4,phase_1_atom_4_dAy,Li4MgWO6_SG12,1,O1,4,-1.992999e-02,2.98441637e-03,phase_other
1::dAz:4,phase_1_atom_4_dAz,Li4MgWO6_SG12,1,O1,4,2.257091e-02,4.54694256e-03,phase_other
1::dAz:5,phase_1_atom_5_dAz,Li4MgWO6_SG12,1,O2,5,-7.761142e-02,8.19456071e-03,phase_other
0::A0,phase_0_reciprocal_metric_tensor_A11,DRX_33,0,,,5.716741e-02,3.96996787e-06,reciprocal_metric_tensor
1::A0,phase_1_reciprocal_metric_tensor_A11,Li4MgWO6_SG12,1,,,4.329597e-02,1.45127856e-05,reciprocal_metric_tensor
1::A1,phase_1_reciprocal_metric_tensor_A22,Li4MgWO6_SG12,1,,,1.296960e-02,3.98008204e-06,reciprocal_metric_tensor
1::A2,phase_1_reciprocal_metric_tensor_A33,Li4MgWO6_SG12,1,,,4.383520e-02,1.44740926e-05,reciprocal_metric_tensor
1::A4,phase_1_reciprocal_metric_tensor_A13,Li4MgWO6_SG12,1,,,3.166222e-02,2.30404727e-05,reciprocal_metric_tensor
0:0:Scale,phase_0_scale_factor,DRX_33,0,,,1.157366e-01,4.12720714e-02,scale
1:0:Scale,phase_1_scale_factor,Li4MgWO6_SG12,1,,,6.018315e-03,1.11863073e-04,scale
