h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
1.00000000,1.00000000,1.00000000,8.00000000,2.41578590,3.94970280,535.98287676,537.47420858,0.00246293,2.07225530,DRX_33
2.00000000,0.00000000,0.00000000,6.00000000,2.09213200,4.56102520,8113.52060643,8104.98856784,0.02785531,17.58112900,DRX_33
2.00000000,2.00000000,0.00000000,12.00000000,1.47936070,6.45196910,4498.26155673,4432.15899059,0.03046498,9.62176690,DRX_33
2.00000000,2.00000000,2.00000000,8.00000000,1.20789300,7.90410770,2657.11345744,2667.01958981,0.01222139,2.57530620,DRX_33
3.00000000,1.00000000,1.00000000,24.00000000,1.26160310,7.56710610,438.97787317,427.87203816,0.00588206,1.35188550,DRX_33
3.00000000,3.00000000,1.00000000,24.00000000,0.95993600,9.95039920,206.34325014,213.51671031,0.00293527,0.39119180,DRX_33
3.00000000,3.00000000,3.00000000,8.00000000,0.80526198,11.86796800,100.08929582,99.97824518,0.00045814,0.04303551,DRX_33
4.00000000,0.00000000,0.00000000,6.00000000,1.04606600,9.12929610,1693.44215578,1700.97853261,0.00584594,0.92463489,DRX_33
4.00000000,2.00000000,0.00000000,24.00000000,0.93562987,10.20957200,1113.89807342,1130.69133207,0.01554389,1.96839510,DRX_33
4.00000000,2.00000000,2.00000000,24.00000000,0.85410931,11.18699600,775.92984994,775.65335811,0.01066309,1.12616490,DRX_33
4.00000000,4.00000000,0.00000000,12.00000000,0.73968036,12.92450600,413.00194872,391.67065863,0.00269220,0.21359100,DRX_33
4.00000000,4.00000000,2.00000000,24.00000000,0.69737733,13.71216300,284.21999290,286.00021899,0.00393171,0.27749477,DRX_33
5.00000000,1.00000000,1.00000000,24.00000000,0.80526198,11.86796800,100.08929291,99.97824518,0.00137443,0.12910652,DRX_33
5.00000000,3.00000000,1.00000000,48.00000000,0.70726970,13.51947400,47.42760088,47.66572137,0.00131054,0.09511998,DRX_33
5.00000000,3.00000000,3.00000000,24.00000000,0.63809428,14.99311400,22.52541837,23.65059169,0.00032513,0.01923874,DRX_33
6.00000000,0.00000000,0.00000000,6.00000000,0.69737733,13.71216300,284.21995620,286.00018517,0.00098293,0.06937369,DRX_33
6.00000000,2.00000000,0.00000000,24.00000000,0.66159023,14.45774700,215.12244624,211.84240681,0.00291225,0.18513711,DRX_33
6.00000000,2.00000000,2.00000000,24.00000000,0.63080153,15.16746400,154.48654702,158.81983044,0.00218333,0.12628237,DRX_33
