h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
0.00000000,0.00000000,1.00000000,2.00000000,4.77096930,1.99964220,21511.27494162,23681.73198769,0.00790015,25.79873200,Li4MgWO6_SG12
0.00000000,0.00000000,2.00000000,2.00000000,2.38548470,3.99989360,7601.38610659,8000.57976032,0.00266897,2.17994760,Li4MgWO6_SG12
0.00000000,0.00000000,3.00000000,2.00000000,1.59032310,6.00136510,12019.73314115,12758.89753898,0.00425633,1.54628090,Li4MgWO6_SG12
0.00000000,0.00000000,4.00000000,2.00000000,1.19274230,8.00467110,23060.60487428,22764.66274894,0.00759422,1.55355400,Li4MgWO6_SG12
0.00000000,0.00000000,5.00000000,2.00000000,0.95419387,10.01043100,8566.73475109,8990.81741845,0.00299931,0.39322996,Li4MgWO6_SG12
0.00000000,0.00000000,6.00000000,2.00000000,0.79516156,12.01927000,4224.20983995,4617.00204968,0.00154022,0.14046996,Li4MgWO6_SG12
0.00000000,0.00000000,7.00000000,2.00000000,0.68156705,14.03182500,4534.22653981,4424.74383549,0.00147608,0.09910463,Li4MgWO6_SG12
0.00000000,2.00000000,0.00000000,2.00000000,4.39410320,2.17116390,20992.33900623,18904.49004096,0.00630648,17.59581400,Li4MgWO6_SG12
0.00000000,2.00000000,1.00000000,4.00000000,3.23213220,2.95186020,15605.14975654,14250.71532685,0.00950799,14.30804300,Li4MgWO6_SG12
0.00000000,2.00000000,2.00000000,4.00000000,2.09646850,4.55158580,8592.69158960,8375.86079623,0.00558832,3.53178190,Li4MgWO6_SG12
0.00000000,2.00000000,3.00000000,4.00000000,1.49539680,6.38270860,8464.57662242,8371.58462522,0.00558547,1.79594680,Li4MgWO6_SG12
0.00000000,2.00000000,4.00000000,4.00000000,1.15108950,8.29482280,7894.81858391,8102.32180636,0.00540582,1.03067380,Li4MgWO6_SG12
0.00000000,2.00000000,5.00000000,4.00000000,0.93246175,10.24435200,6501.85668116,6456.86736598,0.00430798,0.53964308,Li4MgWO6_SG12
0.00000000,2.00000000,6.00000000,4.00000000,0.78245330,12.21521900,4113.36714779,4095.87238499,0.00273274,0.24142556,Li4MgWO6_SG12
0.00000000,2.00000000,7.00000000,4.00000000,0.67351319,14.20047600,3361.00084436,3347.71850012,0.00223358,0.14649131,Li4MgWO6_SG12
0.00000000,4.00000000,0.00000000,2.00000000,2.19705160,4.34310770,11555.04073741,11140.72228214,0.00371651,2.59377050,Li4MgWO6_SG12
0.00000000,4.00000000,1.00000000,4.00000000,1.99561820,4.78173460,12515.46528402,13650.36815434,0.00910744,5.23824530,Li4MgWO6_SG12
0.00000000,4.00000000,2.00000000,4.00000000,1.61606610,5.90568150,16009.64780739,16045.55490810,0.01070550,4.03154990,Li4MgWO6_SG12
0.00000000,4.00000000,3.00000000,4.00000000,1.28824940,7.41036620,8926.03267566,8879.18378200,0.00592414,1.41674080,Li4MgWO6_SG12
0.00000000,4.00000000,4.00000000,4.00000000,1.04823430,9.11037250,6660.66813966,6717.82812892,0.00448209,0.70985398,Li4MgWO6_SG12
0.00000000,4.00000000,5.00000000,4.00000000,0.87521491,10.91639500,6749.87752274,6787.20205056,0.00452838,0.50041708,Li4MgWO6_SG12
0.00000000,4.00000000,6.00000000,4.00000000,0.74769840,12.78532700,6533.09872159,6517.51599693,0.00434845,0.35119879,Li4MgWO6_SG12
0.00000000,4.00000000,7.00000000,4.00000000,0.65096344,14.69505700,3621.21303100,3613.89402001,0.00241117,0.14787564,Li4MgWO6_SG12
0.00000000,6.00000000,0.00000000,2.00000000,1.46470110,6.51661390,25143.42698286,23450.49361109,0.00782301,2.42872170,Li4MgWO6_SG12
0.00000000,6.00000000,1.00000000,4.00000000,1.40020160,6.81714460,11670.67378701,11986.00396597,0.00799699,2.26782940,Li4MgWO6_SG12
0.00000000,6.00000000,2.00000000,4.00000000,1.24819250,7.64852740,8352.87236282,8456.80105939,0.00564233,1.27039080,Li4MgWO6_SG12
0.00000000,6.00000000,3.00000000,4.00000000,1.07737740,8.86343670,8158.38311555,8387.91516686,0.00559637,0.93823947,Li4MgWO6_SG12
0.00000000,6.00000000,4.00000000,4.00000000,0.92487750,10.32858600,12256.59968109,12612.57699083,0.00841503,1.03973090,Li4MgWO6_SG12
0.00000000,6.00000000,5.00000000,4.00000000,0.79950403,11.95375000,6431.95496948,6699.53561718,0.00446989,0.41297605,Li4MgWO6_SG12
0.00000000,6.00000000,6.00000000,4.00000000,0.69882284,13.68366400,4121.23494961,4225.36478787,0.00281914,0.19923196,Li4MgWO6_SG12
0.00000000,8.00000000,0.00000000,2.00000000,1.09852580,8.69246990,10336.25375627,10628.32953656,0.00354558,0.61995567,Li4MgWO6_SG12
0.00000000,8.00000000,1.00000000,4.00000000,1.07051500,8.92036910,6458.46711326,6552.43558872,0.00437175,0.72577603,Li4MgWO6_SG12
0.00000000,8.00000000,2.00000000,4.00000000,0.99780909,9.57182100,2571.46961000,2439.71557015,0.00162776,0.23467092,Li4MgWO6_SG12
0.00000000,8.00000000,3.00000000,4.00000000,0.90385505,10.56949100,5063.64528241,4981.87730723,0.00332388,0.39308637,Li4MgWO6_SG12
0.00000000,8.00000000,4.00000000,4.00000000,0.80803305,11.82712200,7002.15135913,7093.41822044,0.00473269,0.44735950,Li4MgWO6_SG12
0.00000000,8.00000000,5.00000000,4.00000000,0.72037949,13.27232400,4322.51708136,4479.63105756,0.00298878,0.22468142,Li4MgWO6_SG12
0.00000000,8.00000000,6.00000000,4.00000000,0.64412469,14.85195100,1617.02833104,1693.58208415,0.00112995,0.06798644,Li4MgWO6_SG12
0.00000000,10.00000000,0.00000000,2.00000000,0.87882063,10.87147100,7631.53166997,7699.81855693,0.00256864,0.28791338,Li4MgWO6_SG12
0.00000000,10.00000000,1.00000000,4.00000000,0.86428031,11.05493300,6818.18027879,7083.23887752,0.00472589,0.51229054,Li4MgWO6_SG12
0.00000000,10.00000000,2.00000000,4.00000000,0.82464002,11.58811900,8211.61346817,8388.56635284,0.00559680,0.55223239,Li4MgWO6_SG12
0.00000000,10.00000000,3.00000000,4.00000000,0.76918895,12.42668800,5627.31477415,5608.01663870,0.00374164,0.32118773,Li4MgWO6_SG12
0.00000000,10.00000000,4.00000000,4.00000000,0.70751162,13.51483000,5343.63782432,5415.94348449,0.00361348,0.26249910,Li4MgWO6_SG12
0.00000000,10.00000000,5.00000000,4.00000000,0.64642644,14.79877000,4836.57635763,4869.03543377,0.00324859,0.19712472,Li4MgWO6_SG12
0.00000000,12.00000000,0.00000000,2.00000000,0.73235053,13.05442300,5617.99696434,5312.76040103,0.00177232,0.13823080,Li4MgWO6_SG12
0.00000000,12.00000000,1.00000000,4.00000000,0.72387200,13.20800200,4610.13675109,4806.90681106,0.00320714,0.24437745,Li4MgWO6_SG12
0.00000000,12.00000000,2.00000000,4.00000000,0.70010080,13.65856700,4914.51353851,5071.18896522,0.00338347,0.24116123,Li4MgWO6_SG12
0.00000000,12.00000000,3.00000000,4.00000000,0.66520606,14.37874300,3864.37603748,3923.02584789,0.00261742,0.16844949,Li4MgWO6_SG12
0.00000000,12.00000000,4.00000000,4.00000000,0.62409624,15.33139700,3885.83413595,4016.95252740,0.00268009,0.15187994,Li4MgWO6_SG12
0.00000000,14.00000000,0.00000000,2.00000000,0.62772902,15.24214300,5520.88642894,5702.09249986,0.00190220,0.10925790,Li4MgWO6_SG12
0.00000000,14.00000000,1.00000000,4.00000000,0.62236514,15.37429900,3403.49606294,3522.28385976,0.00235005,0.13268855,Li4MgWO6_SG12
1.00000000,1.00000000,-7.00000000,4.00000000,0.70858043,13.49434900,3773.85105082,3869.53791547,0.00258173,0.18644670,Li4MgWO6_SG12
1.00000000,1.00000000,-6.00000000,4.00000000,0.82999050,11.51316300,4493.16341168,4583.89444553,0.00305835,0.30223624,Li4MgWO6_SG12
1.00000000,1.00000000,-5.00000000,4.00000000,1.00028970,9.54802860,7911.91666826,7640.34167227,0.00509759,0.72977360,Li4MgWO6_SG12
1.00000000,1.00000000,-4.00000000,4.00000000,1.25482850,7.60801920,9946.16497595,9847.50940961,0.00657020,1.47604580,Li4MgWO6_SG12
1.00000000,1.00000000,-3.00000000,4.00000000,1.66988770,5.71517670,10191.92907602,9662.08946138,0.00644649,2.55617490,Li4MgWO6_SG12
1.00000000,1.00000000,-2.00000000,4.00000000,2.42531250,3.93418230,11151.90374835,11153.54180271,0.00744158,6.19680010,Li4MgWO6_SG12
1.00000000,1.00000000,-1.00000000,4.00000000,3.79964820,2.51089320,20019.91097509,18300.26715111,0.01220983,24.89296600,Li4MgWO6_SG12
1.00000000,1.00000000,0.00000000,4.00000000,4.21117630,2.26548790,18579.00284019,17964.81560175,0.01198602,30.56933000,Li4MgWO6_SG12
1.00000000,1.00000000,1.00000000,4.00000000,2.75891780,3.45831090,14266.48294191,12836.86734001,0.00856468,9.45481150,Li4MgWO6_SG12
1.00000000,1.00000000,2.00000000,4.00000000,1.84354990,5.17642230,11144.02620940,11212.38713887,0.00748084,3.68363190,Li4MgWO6_SG12
1.00000000,1.00000000,3.00000000,4.00000000,1.35463100,7.04676230,10554.86901973,10102.34050816,0.00674022,1.79025440,Li4MgWO6_SG12
1.00000000,1.00000000,4.00000000,4.00000000,1.06386820,8.97621590,7202.57252457,7056.85733004,0.00470829,0.77121844,Li4MgWO6_SG12
1.00000000,1.00000000,5.00000000,4.00000000,0.87370871,10.93527100,5512.28598421,5484.17901579,0.00365901,0.40446056,Li4MgWO6_SG12
1.00000000,1.00000000,6.00000000,4.00000000,0.74037501,12.91232800,5254.68246413,4932.77233476,0.00329112,0.26152407,Li4MgWO6_SG12
1.00000000,1.00000000,7.00000000,4.00000000,0.64196528,14.90219200,3946.77666942,4139.05823297,0.00276155,0.16524857,Li4MgWO6_SG12
1.00000000,3.00000000,-7.00000000,4.00000000,0.69084352,13.84248100,9005.05672759,8865.27983603,0.00591486,0.40641741,Li4MgWO6_SG12
1.00000000,3.00000000,-6.00000000,4.00000000,0.80187383,11.91829400,5604.96428554,5664.14692432,0.00377908,0.34899669,Li4MgWO6_SG12
1.00000000,3.00000000,-5.00000000,4.00000000,0.95216331,10.03183300,5910.76495292,6165.81881256,0.00411380,0.53448057,Li4MgWO6_SG12
1.00000000,3.00000000,-4.00000000,4.00000000,1.16352460,8.20602000,10763.55520191,11116.56242071,0.00741690,1.43607670,Li4MgWO6_SG12
1.00000000,3.00000000,-3.00000000,4.00000000,1.47091310,6.48906300,30256.27467457,27764.03392268,0.01852400,5.72293060,Li4MgWO6_SG12
1.00000000,3.00000000,-2.00000000,4.00000000,1.91183490,4.99141670,12534.09664114,14381.41799850,0.00959520,5.00610360,Li4MgWO6_SG12
1.00000000,3.00000000,-1.00000000,4.00000000,2.40529110,3.96694320,8853.15131697,8834.98313726,0.00589465,4.88441110,Li4MgWO6_SG12
1.00000000,3.00000000,0.00000000,4.00000000,2.50021810,3.81627140,14962.50167054,18343.49518419,0.01223867,11.04075800,Li4MgWO6_SG12
1.00000000,3.00000000,1.00000000,4.00000000,2.06301290,4.62543810,44099.70075070,40138.90037430,0.02678043,16.51185000,Li4MgWO6_SG12
1.00000000,3.00000000,2.00000000,4.00000000,1.58547420,6.01973640,13745.79573500,14195.40949736,0.00947109,3.44897440,Li4MgWO6_SG12
1.00000000,3.00000000,3.00000000,4.00000000,1.24174760,7.68828420,7581.89259910,7527.27729817,0.00502215,1.12128430,Li4MgWO6_SG12
1.00000000,3.00000000,4.00000000,4.00000000,1.00650310,9.48895040,7722.84977192,8026.81444359,0.00535544,0.78556750,Li4MgWO6_SG12
1.00000000,3.00000000,5.00000000,4.00000000,0.84108802,11.36075300,12326.99211136,12840.67223256,0.00856722,0.87807743,Li4MgWO6_SG12
