parameter,value,esd
r_wp,  6.4710707,
r_exp,  9.7925153,
gof, 0.66081803,
chebyshev_bkg_bkg0__,   66.91227, 0.16717785
chebyshev_bkg_bkg1__, -3.9726459, 0.24199271
chebyshev_bkg_bkg2__,-0.21201851, 0.22362016
chebyshev_bkg_bkg3__,  2.0022527, 0.21334765
chebyshev_bkg_bkg4__, -1.5191093, 0.18644459
chebyshev_bkg_bkg5__,  2.6598124, 0.18816406
DRX_33_scale,5.7280176e-07,3.06034e-05
DRX_33_a,   4.184264,0.00033224567
DRX_33_Li_occ,  3.2416087,   7057.304
DRX_33_Li_beq,   1.310687,  14619.442
DRX_33_Mg_occ, 0.92771544,  1201.4735
DRX_33_Mg_beq,  1.3222791,   9563.593
DRX_33_Mn1_occ,0.070461216,  609.86094
DRX_33_Mn1_beq,  1.6882575,  24827.769
DRX_33_W_occ,0.020136613,  218.12234
DRX_33_W_beq,  2.5976483,  32957.478
DRX_33_O1_occ,  1.8392036,  49.112518
DRX_33_O1_beq,  1.7028159,  1.1088862
DRX_33_size_um,  2364056.2, 0.66081803
DRX_33_size_eta,    0.03125, 0.66081803
DRX_33_strain,  15124.727,  2264.2732
DRX_33_strain_eta, 0.79024343, 0.17113844
Li4MgWO6_SG12_scale,1.6679849e-07,8.8199826e-10
Li4MgWO6_SG12_a,  5.1331099,0.00021302791
Li4MgWO6_SG12_b,  8.7882063,0.00033183585
Li4MgWO6_SG12_c,  5.1043067,0.0002039201
Li4MgWO6_SG12_beta,  110.82109,0.0033034521
Li4MgWO6_SG12_Li1_y, 0.31568531,0.0032297356
Li4MgWO6_SG12_Li2_y, 0.18741547,0.0011106946
Li4MgWO6_SG12_O1_x, 0.23895117,0.0014406068
Li4MgWO6_SG12_O1_y, 0.36153485,0.00083199317
Li4MgWO6_SG12_O1_z, 0.24945465,0.0013754536
Li4MgWO6_SG12_O2_x, 0.27735342,0.0020399251
Li4MgWO6_SG12_O2_z, 0.23466973,0.0021502452
Li4MgWO6_SG12_size_um,   92641704, 0.66081803
Li4MgWO6_SG12_size_eta,     0.0625, 0.66081803
Li4MgWO6_SG12_strain,  5123.0907,   2951.385
Li4MgWO6_SG12_strain_eta, 0.92114245, 0.55629484
DRX_33_cell_a,   4.184264,0.00033224567
DRX_33_cell_b,   4.184264,0.00033224567
DRX_33_cell_c,   4.184264,0.00033224567
DRX_33_cell_alpha,         90,          0
DRX_33_cell_beta,         90,          0
DRX_33_cell_gamma,         90,          0
DRX_33_cell_volume,  73.258367,0.017452682
Li4MgWO6_SG12_cell_a,  5.1331099,0.00021302791
Li4MgWO6_SG12_cell_b,  8.7882063,0.00033183585
Li4MgWO6_SG12_cell_c,  5.1043067,0.0002039201
Li4MgWO6_SG12_cell_alpha,         90,          0
Li4MgWO6_SG12_cell_beta,  110.82109,0.0033034521
Li4MgWO6_SG12_cell_gamma,         90,          0
Li4MgWO6_SG12_cell_volume,  215.22238,0.015557292
