parameter_name,descriptive_name,phase_name,phase_idx,atom_name,atom_idx,value,esd,category
chebyshev_bkg_bkg0__,background_coefficient_0,,,,,66.91227,0.16717785,background
chebyshev_bkg_bkg1__,background_coefficient_1,,,,,-3.9726459,0.24199271,background
chebyshev_bkg_bkg2__,background_coefficient_2,,,,,-0.21201851,0.22362016,background
chebyshev_bkg_bkg3__,background_coefficient_3,,,,,2.0022527,0.21334765,background
chebyshev_bkg_bkg4__,background_coefficient_4,,,,,-1.5191093,0.18644459,background
chebyshev_bkg_bkg5__,background_coefficient_5,,,,,2.6598124,0.18816406,background
DRX_33_scale,phase_0_scale_factor,DRX_33,0,,,5.7280176e-07,3.06034e-05,scale
DRX_33_a,cell_a,DRX_33,0,,,4.184264,0.00033224567,cell
DRX_33_Li_occ,Li_occupancy,DRX_33,0,Li,,3.2416087,7057.304,occupancy
DRX_33_Li_beq,Li_Uiso,DRX_33,0,Li,,0.01660004478,185.157396,atom_adp
DRX_33_Mg_occ,Mg_occupancy,DRX_33,0,Mg,,0.92771544,1201.4735,occupancy
DRX_33_Mg_beq,Mg_Uiso,DRX_33,0,Mg,,0.01674686044,121.1243203,atom_adp
DRX_33_Mn1_occ,Mn1_occupancy,DRX_33,0,Mn1,,0.070461216,609.86094,occupancy
DRX_33_Mn1_beq,Mn1_Uiso,DRX_33,0,Mn1,,0.02138203102,314.4473678,atom_adp
DRX_33_W_occ,W_occupancy,DRX_33,0,W,,0.020136613,218.12234,occupancy
DRX_33_W_beq,W_Uiso,DRX_33,0,W,,0.03289960006,417.4113351,atom_adp
DRX_33_O1_occ,O1_occupancy,DRX_33,0,O1,,1.8392036,49.112518,occupancy
DRX_33_O1_beq,O1_Uiso,DRX_33,0,O1,,0.02156641531,0.01404420779,atom_adp
DRX_33_size_um,size_isotropic_um,DRX_33,0,,,2364056.2,0.66081803,size_broadening
DRX_33_size_eta,size_LG_eta,DRX_33,0,,,0.03125,0.66081803,size_broadening
DRX_33_strain,strain_isotropic,DRX_33,0,,,15124.727,2264.2732,strain_broadening
DRX_33_strain_eta,strain_LG_eta,DRX_33,0,,,0.79024343,0.17113844,strain_broadening
Li4MgWO6_SG12_scale,phase_1_scale_factor,Li4MgWO6_SG12,1,,,1.6679849e-07,8.8199826e-10,scale
Li4MgWO6_SG12_a,cell_a,Li4MgWO6_SG12,1,,,5.1331099,0.00021302791,cell
Li4MgWO6_SG12_b,cell_b,Li4MgWO6_SG12,1,,,8.7882063,0.00033183585,cell
Li4MgWO6_SG12_c,cell_c,Li4MgWO6_SG12,1,,,5.1043067,0.0002039201,cell
Li4MgWO6_SG12_beta,cell_beta,Li4MgWO6_SG12,1,,,110.82109,0.0033034521,cell
Li4MgWO6_SG12_Li1_y,Li1_y,Li4MgWO6_SG12,1,Li1,,0.31568531,0.0032297356,atom_coordinate
Li4MgWO6_SG12_Li2_y,Li2_y,Li4MgWO6_SG12,1,Li2,,0.18741547,0.0011106946,atom_coordinate
Li4MgWO6_SG12_O1_x,O1_x,Li4MgWO6_SG12,1,O1,,0.23895117,0.0014406068,atom_coordinate
Li4MgWO6_SG12_O1_y,O1_y,Li4MgWO6_SG12,1,O1,,0.36153485,0.00083199317,atom_coordinate
Li4MgWO6_SG12_O1_z,O1_z,Li4MgWO6_SG12,1,O1,,0.24945465,0.0013754536,atom_coordinate
Li4MgWO6_SG12_O2_x,O2_x,Li4MgWO6_SG12,1,O2,,0.27735342,0.0020399251,atom_coordinate
Li4MgWO6_SG12_O2_z,O2_z,Li4MgWO6_SG12,1,O2,,0.23466973,0.0021502452,atom_coordinate
Li4MgWO6_SG12_size_um,size_isotropic_um,Li4MgWO6_SG12,1,,,92641704,0.66081803,size_broadening
Li4MgWO6_SG12_size_eta,size_LG_eta,Li4MgWO6_SG12,1,,,0.0625,0.66081803,size_broadening
Li4MgWO6_SG12_strain,strain_isotropic,Li4MgWO6_SG12,1,,,5123.0907,2951.385,strain_broadening
Li4MgWO6_SG12_strain_eta,strain_LG_eta,Li4MgWO6_SG12,1,,,0.92114245,0.55629484,strain_broadening
