h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,1.00000000,1.00000000,8.00000000,2.41407468,3.95250371,1.19001412,0.37728429,17.84831988,601.46847086,0.00000000,46.03590458,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,6.00000000,2.09065000,4.56426001,1.20066395,0.37739511,48.05488510,3908.76695649,0.00000000,25.89992697,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,12.00000000,1.47831279,6.45654747,1.24042162,0.37780633,55.39701218,2487.07982084,0.00000000,25.91888184,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,24.00000000,1.26070939,7.57247791,1.26871793,0.37809745,11.52682476,489.97979357,0.00000000,37.72091923,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,8.00000000,1.20703734,7.90971955,1.27798072,0.37819255,31.87983339,1754.64118326,-0.00000000,11.52795045,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,6.00000000,1.04532500,9.13578132,1.31445110,0.37856621,26.34780005,1319.80461835,0.00000000,6.48923679,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,24.00000000,0.95925601,9.95747042,1.34135739,0.37884123,6.27011990,348.74875723,-0.00000000,21.87054773,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,24.00000000,0.93496710,10.21682793,1.35026258,0.37893214,27.31427067,1037.14007503,-0.00000000,20.78084644,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,2.00000000,24.00000000,0.85350429,11.19495144,1.38563565,0.37929280,18.30916990,840.81247785,0.00000000,17.33014755,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,3.00000000,8.00000000,0.80469156,11.87641045,1.41195854,0.37956073,14.34077980,251.11526916,0.00000000,5.13770435,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,1.00000000,24.00000000,0.80469156,11.87641045,1.41195854,0.37956073,14.34077980,251.11526916,0.00000000,15.41311306,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,12.00000000,0.73915640,12.93370687,1.45554526,0.38000365,20.74951566,588.61647263,0.00000000,6.50842648,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,1.00000000,48.00000000,0.70676870,13.52910210,1.48156905,0.38026770,5.98289710,186.53712203,-0.00000000,23.81549001,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,2.00000000,24.00000000,0.69688333,13.72192986,1.49022680,0.38035548,13.71536285,503.46414046,0.00000000,11.57912338,1.00000000,1.00000000,1.00000000
6.00000000,0.00000000,0.00000000,6.00000000,0.69688333,13.72192986,1.49022680,0.38035548,13.71536285,503.46414046,0.00000000,2.89478085,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,0.00000000,24.00000000,0.66112158,14.46804987,1.52478939,0.38070560,15.90638970,435.20353680,0.00000000,10.42896101,1.00000000,1.00000000,1.00000000
