h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
0.00000000,0.00000000,1.00000000,2.00000000,4.75699164,2.00551841,1.16325525,0.37700332,438.00522825,24655.69675342,0.00000000,15.33028554,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,0.00000000,2.00000000,4.39700000,2.16973330,1.16509360,0.37702281,300.55258237,16166.32590354,0.00000000,13.09811602,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,0.00000000,4.00000000,4.20384979,2.26943668,1.16624734,0.37703502,251.61856316,15520.86970247,180.00000000,23.94567105,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-1.00000000,4.00000000,3.75849964,2.53838724,1.16950122,0.37706938,279.76134693,15035.83759014,180.00000000,19.14173658,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,1.00000000,4.00000000,3.22892361,2.95479413,1.17494702,0.37712669,311.92608719,14002.75455506,-0.00000000,14.12871494,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,4.00000000,2.76539158,3.45021257,1.18207233,0.37720137,315.60483678,12319.01934882,180.00000000,10.36450806,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-1.00000000,2.00000000,2.50914152,3.80269441,1.18756980,0.37725880,260.49665889,16370.52253370,0.00000000,4.26672503,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,0.00000000,4.00000000,2.49974722,3.81699059,1.18780028,0.37726120,237.16397244,16742.16282102,180.00000000,8.46970302,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-2.00000000,4.00000000,2.40162385,3.97300303,1.19035360,0.37728783,148.86624187,10971.03258732,-180.00000000,7.81815852,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-1.00000000,4.00000000,2.39568794,3.98285108,1.19051711,0.37728954,91.62238182,7442.54161357,180.00000000,7.77958058,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,2.00000000,2.39306475,3.98721870,1.19058972,0.37729029,91.40969964,7347.46521933,0.00000000,3.88128135,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,2.00000000,2.00000000,2.37849582,4.01165145,1.19099691,0.37729454,144.02737240,7561.38662759,0.00000000,3.83419313,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,0.00000000,2.00000000,2.19850000,4.34024498,1.19663950,0.37735328,328.73307299,9943.07703542,0.00000000,3.27615112,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-1.00000000,4.00000000,2.17927683,4.37854838,1.19731741,0.37736033,154.63682579,10165.61627529,0.00000000,6.43829496,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,4.00000000,2.10192490,4.53976410,1.20021686,0.37739047,283.60952362,10214.77149675,0.00000000,5.98966245,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,2.00000000,4.00000000,2.09203204,4.56124317,1.20060879,0.37739454,136.17107903,10318.16069042,-0.00000000,5.93345429,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-2.00000000,2.00000000,2.07866524,4.59058977,1.20114643,0.37740013,344.92127680,40991.51354420,0.00000000,2.92896471,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,1.00000000,4.00000000,2.06631701,4.61803778,1.20165152,0.37740537,514.30101089,40927.99815548,180.00000000,5.78858984,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,1.00000000,4.00000000,1.99567509,4.78159810,1.20470622,0.37743709,241.44260303,10830.29576649,-0.00000000,5.39985333,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-2.00000000,4.00000000,1.90063509,5.02084823,1.20931304,0.37748486,254.82149513,12239.13838770,180.00000000,4.89818849,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,1.00000000,2.00000000,1.89394044,5.03860722,1.20966155,0.37748848,217.03550293,12464.99062847,0.00000000,2.43188686,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-2.00000000,4.00000000,1.87924982,5.07802112,1.21043829,0.37749653,157.15060096,10907.95088094,0.00000000,4.78868021,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,2.00000000,4.00000000,1.84640225,5.16842009,1.21223667,0.37751516,275.67707514,10120.54423537,180.00000000,4.62288991,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,1.00000000,4.00000000,1.73944062,5.48647243,1.21875096,0.37758259,374.64910569,10517.31392180,0.00000000,4.10328562,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-1.00000000,4.00000000,1.66654210,5.72665958,1.22386358,0.37763545,270.51414349,9217.52568423,-180.00000000,3.76691781,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-3.00000000,4.00000000,1.65669831,5.76071491,1.22460195,0.37764308,131.70320869,9005.15807032,180.00000000,3.72260012,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-1.00000000,4.00000000,1.65355933,5.77165985,1.22483996,0.37764554,117.51964489,8518.04667359,0.00000000,3.70852330,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,0.00000000,4.00000000,1.65086203,5.78109801,1.22504548,0.37764766,165.20652334,9942.89053382,180.00000000,3.69644857,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-1.00000000,4.00000000,1.61980707,5.89203014,1.22748036,0.37767281,147.75130303,7732.46776484,180.00000000,3.55884786,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,0.00000000,4.00000000,1.61899552,5.89498623,1.22754573,0.37767349,191.83032513,10767.33965681,-0.00000000,3.55528701,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,2.00000000,4.00000000,1.61446180,5.91155515,1.22791260,0.37767728,196.07046760,10829.82379184,0.00000000,3.53542723,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-3.00000000,2.00000000,1.59634055,5.97872223,1.22940791,0.37769272,316.62250928,16167.36348425,0.00000000,1.72830195,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,2.00000000,4.00000000,1.58756032,6.01181870,1.23014951,0.37770037,211.62749169,15863.27670192,180.00000000,3.41873189,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,3.00000000,2.00000000,1.58566388,6.01901542,1.23031119,0.37770204,131.26556524,9552.55850950,0.00000000,1.70528966,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-2.00000000,4.00000000,1.57589455,6.05636334,1.23115263,0.37771073,158.55455247,10727.73019934,180.00000000,3.36873671,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,0.00000000,4.00000000,1.56975380,6.08007757,1.23168900,0.37771626,168.50957123,8027.83076785,180.00000000,3.34256785,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-2.00000000,4.00000000,1.51042653,6.31913158,1.23718664,0.37777298,220.49083193,7784.50966673,-0.00000000,3.09500626,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,1.00000000,4.00000000,1.50566904,6.33911860,1.23765377,0.37777780,171.65793977,10441.47703323,180.00000000,3.07556720,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-3.00000000,4.00000000,1.50051167,6.36092901,1.23816484,0.37778306,173.51161955,10131.35246895,0.00000000,3.05456346,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,3.00000000,4.00000000,1.49163430,6.39882496,1.23905610,0.37779225,185.10016188,8337.43398120,0.00000000,3.01857862,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-1.00000000,4.00000000,1.46884118,6.49822612,1.24141360,0.37781655,355.22783053,28453.00890202,180.00000000,2.92716356,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,0.00000000,2.00000000,1.46566667,6.51231591,1.24175008,0.37782002,247.45567568,28212.56078546,0.00000000,1.45727169,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-3.00000000,4.00000000,1.46208820,6.52827210,1.24213182,0.37782395,220.37546075,27763.93151041,180.00000000,2.90035004,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,2.00000000,2.00000000,1.45658917,6.55294497,1.24272356,0.37783005,434.17209437,27970.62907127,0.00000000,1.43930340,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-2.00000000,4.00000000,1.43781962,6.63858348,1.24479114,0.37785135,170.39729480,7906.79762401,-180.00000000,2.80500878,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,1.00000000,4.00000000,1.43491475,6.65203786,1.24511790,0.37785472,212.84392422,9341.05404609,-0.00000000,2.79370368,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-2.00000000,4.00000000,1.40564628,6.79070778,1.24851623,0.37788971,221.38645162,12867.64814426,180.00000000,2.68107309,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,0.00000000,4.00000000,1.40128326,6.81187613,1.24903990,0.37789510,176.72566963,12422.30496988,180.00000000,2.66448217,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,1.00000000,4.00000000,1.40068971,6.81476611,1.24911149,0.37789584,192.15798162,12623.91313174,0.00000000,2.66222911,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,4.00000000,1.38269579,6.90355786,1.25132291,0.37791860,296.48641353,8882.33874851,0.00000000,2.59437889,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-3.00000000,4.00000000,1.36888490,6.97329461,1.25307578,0.37793664,200.74683186,8971.47980947,180.00000000,2.54289682,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,4.00000000,1.36085920,7.01447106,1.25411739,0.37794736,203.03886445,8327.95836423,180.00000000,2.51321732,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,3.00000000,4.00000000,1.35548350,7.04232468,1.25482476,0.37795464,308.35230628,8437.71103048,180.00000000,2.49343527,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-3.00000000,4.00000000,1.29173570,7.39033819,1.26385276,0.37804746,286.74609123,8501.22548699,-0.00000000,2.26481923,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,2.00000000,4.00000000,1.28707032,7.41716414,1.26456326,0.37805477,206.54345021,8118.18032847,-180.00000000,2.24852038,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,3.00000000,4.00000000,1.28605915,7.42300407,1.26471821,0.37805636,218.97109141,7680.14199937,0.00000000,2.24499557,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-1.00000000,2.00000000,1.26722553,7.53348350,1.26766823,0.37808667,320.33996383,10424.33597646,0.00000000,1.08992504,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-1.00000000,4.00000000,1.26557250,7.54333759,1.26793308,0.37808939,229.23178624,10084.07315864,0.00000000,2.17417814,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-2.00000000,2.00000000,1.25457076,7.60958454,1.26972092,0.37810775,152.78055445,6864.10296935,0.00000000,1.06830855,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-3.00000000,4.00000000,1.25283321,7.62015380,1.27000734,0.37811069,123.47630060,7016.11011427,180.00000000,2.13071494,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,0.00000000,4.00000000,1.24987361,7.63822448,1.27049779,0.37811573,91.34176710,6866.23189748,-0.00000000,2.12068047,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-4.00000000,2.00000000,1.24826313,7.64809379,1.27076605,0.37811849,89.41171061,7167.29744791,0.00000000,1.05761507,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,2.00000000,4.00000000,1.24778406,7.65103453,1.27084604,0.37811931,87.03362116,6968.57685877,0.00000000,2.11361019,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,4.00000000,1.24667179,7.65787091,1.27103208,0.37812122,89.47071549,6817.29861387,180.00000000,2.10985149,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-4.00000000,4.00000000,1.24640578,7.65950766,1.27107665,0.37812168,108.52508530,8089.06359389,180.00000000,2.10895309,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,3.00000000,4.00000000,1.24253498,7.68340467,1.27172817,0.37812837,194.94777425,7022.76949426,180.00000000,2.09590141,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-1.00000000,4.00000000,1.22133519,7.81697781,1.27540046,0.37816607,267.57946678,8374.55481488,180.00000000,2.02513940,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-1.00000000,4.00000000,1.21766421,7.84058101,1.27605477,0.37817278,120.12368138,8492.44929345,-0.00000000,2.01300986,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-3.00000000,4.00000000,1.21744473,7.84199667,1.27609407,0.37817319,114.44612439,8201.85183654,180.00000000,2.01228584,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,0.00000000,4.00000000,1.21512301,7.85700377,1.27651099,0.37817747,125.08440013,7647.01993527,180.00000000,2.00463472,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,2.00000000,4.00000000,1.21426446,7.86256782,1.27666574,0.37817905,132.65984631,6818.29192724,0.00000000,2.00180911,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-2.00000000,4.00000000,1.20642404,7.91374693,1.27809334,0.37819371,123.22298851,7110.81905519,-0.00000000,1.97609753,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-1.00000000,4.00000000,1.20257764,7.93909931,1.27880335,0.37820099,156.02584975,8769.12907056,180.00000000,1.96354468,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-4.00000000,4.00000000,1.20081192,7.95079199,1.27913144,0.37820436,108.18712949,7250.95687564,-0.00000000,1.95779564,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-2.00000000,4.00000000,1.19784397,7.97052383,1.27968601,0.37821005,231.17628691,21288.34107008,0.00000000,1.94815124,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,2.00000000,1.19653238,7.97927495,1.27993233,0.37821257,278.35322675,21610.39016866,0.00000000,0.97194840,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,4.00000000,2.00000000,1.18924791,8.02823006,1.28131438,0.37822675,444.28886052,20698.07711253,0.00000000,0.96017645,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-2.00000000,4.00000000,1.18427641,8.06198754,1.28227145,0.37823657,150.06669149,8150.73014824,180.00000000,1.90436722,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,0.00000000,4.00000000,1.18166362,8.07984306,1.28277902,0.37824178,191.88857403,6715.85506457,180.00000000,1.89599274,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-3.00000000,2.00000000,1.16535128,8.19313475,1.28602118,0.37827503,450.75702461,8275.46313949,0.00000000,0.92206342,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,1.00000000,4.00000000,1.15911801,8.23726997,1.28729436,0.37828808,166.48786350,8487.85809335,0.00000000,1.82449823,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-4.00000000,4.00000000,1.15690600,8.25304697,1.28775086,0.37829277,163.59890953,12361.04198740,180.00000000,1.81755789,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,4.00000000,1.15454756,8.26993506,1.28824032,0.37829778,90.46276256,7381.84086357,0.00000000,1.81017274,1.00000000,1.00000000,1.00000000
