h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,1.00000000,1.00000000,8.00000000,2.41518305,3.95068912,1.61173823,1.84674723,542.87979737,601.47370032,0.00000000,0.53724718,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,6.00000000,2.09160988,4.56216429,1.76318750,2.08781399,3938.03439982,3910.67274118,0.00000000,0.30225669,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,12.00000000,1.47899153,6.45358131,2.36726303,2.83424497,2589.61012095,2488.86558329,0.00000000,0.30247770,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,24.00000000,1.26128821,7.56899771,2.81997690,3.27509689,463.72377789,490.17857622,0.00000000,0.44020923,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,8.00000000,1.20759152,7.90608387,2.97093747,3.40843858,1724.34212653,1756.15175370,0.00000000,0.13453302,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,6.00000000,1.04580494,9.13157986,3.57532876,3.89370543,1305.67330759,1321.06665637,0.00000000,0.07573038,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,24.00000000,0.95969643,9.95288924,4.02936570,4.21940016,310.96472876,349.00833310,0.00000000,0.25523248,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,24.00000000,0.93539637,10.21212680,4.18087516,4.32228819,909.04909226,1038.20577252,-0.00000000,0.24251547,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,2.00000000,24.00000000,0.85389616,11.18979749,4.78780576,4.71070978,737.43268184,841.72656424,-0.00000000,0.20224518,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,3.00000000,8.00000000,0.80506102,11.87094058,5.24399812,4.98171626,237.58794830,251.35907088,0.00000000,0.05995768,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,1.00000000,24.00000000,0.80506102,11.87094058,5.24399812,4.98171626,237.58794830,251.35907088,0.00000000,0.17987303,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,12.00000000,0.73949576,12.92774606,6.00633317,5.40287867,718.88885705,589.31886778,0.00000000,0.07595412,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,1.00000000,48.00000000,0.70709319,13.52286437,6.46499154,5.64044160,182.48592848,186.74827735,0.00000000,0.27792948,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,2.00000000,24.00000000,0.69720329,13.71560238,6.61809258,5.71744373,448.81361624,504.09081678,-0.00000000,0.13512966,1.00000000,1.00000000,1.00000000
6.00000000,0.00000000,0.00000000,6.00000000,0.69720329,13.71560238,6.61809258,5.71744373,448.81361624,504.09081678,0.00000000,0.03378242,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,0.00000000,24.00000000,0.66142512,14.46137475,7.23159090,6.01569800,400.27668793,435.76777567,0.00000000,0.12170706,1.00000000,1.00000000,1.00000000
