h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
0.00000000,0.00000000,1.00000000,2.00000000,4.77016791,1.99997816,1.24140335,0.96056216,20315.35825015,24671.47288701,0.00000000,0.11861646,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,0.00000000,2.00000000,4.39406930,2.17118062,1.25728505,1.01789799,20452.10716250,16163.84123691,0.00000000,0.10065197,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,0.00000000,4.00000000,4.20987569,2.26618785,1.26662969,1.04971764,17954.46738157,15526.28324250,180.00000000,0.18478360,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-1.00000000,4.00000000,3.79761204,2.51223965,1.29259370,1.13213077,19519.03494282,15080.46716782,180.00000000,0.15037096,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,1.00000000,4.00000000,3.23186952,2.95210018,1.34535007,1.27948180,15759.31815091,14007.21427125,0.00000000,0.10891482,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,4.00000000,2.75865617,3.45863902,1.41618627,1.44921142,13464.29998934,12307.00020718,-180.00000000,0.07936407,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-1.00000000,2.00000000,2.53358679,3.76599090,1.46443294,1.55222246,11641.72508645,16444.26217933,0.00000000,0.03347373,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,0.00000000,4.00000000,2.49993341,3.81670621,1.47277647,1.56922195,12208.16976260,16742.75692917,180.00000000,0.06518165,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-2.00000000,4.00000000,2.42429120,3.93584038,1.49280242,1.60915726,9764.23645164,11016.89523189,180.00000000,0.06129881,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-1.00000000,4.00000000,2.40476321,3.96781428,1.49827891,1.61987585,6918.28749165,7441.29129934,-180.00000000,0.06031579,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,2.00000000,2.39798965,3.97902660,1.50020957,1.62363461,6717.20137320,7346.66012535,0.00000000,0.02998833,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,2.00000000,2.00000000,2.38508396,4.00056585,1.50393329,1.63085539,6049.33537526,7560.65726528,0.00000000,0.02966659,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,0.00000000,2.00000000,2.19703465,4.34314116,1.56578783,1.74571417,9793.93112777,9940.03595513,0.00000000,0.02517547,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-1.00000000,4.00000000,2.19487049,4.34742560,1.56659276,1.74715084,9945.31088369,10200.30982723,-0.00000000,0.05025187,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,4.00000000,2.10493784,4.53326262,1.60225201,1.80947040,10921.19997698,10222.30518900,0.00000000,0.04622087,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,2.00000000,4.00000000,2.09619281,4.55218470,1.60596463,1.81581632,10732.46488668,10328.89984530,0.00000000,0.04583789,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-2.00000000,2.00000000,2.10554608,4.53195240,1.60199549,1.80903100,44271.93399597,41448.95410276,0.00000000,0.02312378,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,1.00000000,4.00000000,2.06289644,4.62569928,1.62053206,1.84047184,44179.11076943,40868.55527621,180.00000000,0.04439431,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,1.00000000,4.00000000,1.99554682,4.78190563,1.65224314,1.89286542,10336.30327640,10829.88379747,-0.00000000,0.04154499,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-2.00000000,4.00000000,1.91132895,4.99273882,1.69667850,1.96359189,10443.35380422,12277.23361838,180.00000000,0.03811510,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,1.00000000,2.00000000,1.89011486,5.04881192,1.70881279,1.98240433,10324.44719263,12450.60768282,0.00000000,0.01863722,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-2.00000000,4.00000000,1.89880602,5.02568779,1.70379259,1.97464611,9999.09809956,10981.85526463,0.00000000,0.03761772,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,2.00000000,4.00000000,1.84341037,5.17681422,1.73701076,2.02535221,10133.83589421,10110.17256303,180.00000000,0.03545674,1.00000000,1.00000000,1.00000000
