parameter_name,descriptive_name,phase_name,phase_idx,atom_name,atom_idx,value,esd,category
:0:Back;0,background_coefficient_0,,,,,6.629487e+01,1.82674665e-01,background
:0:Back;1,background_coefficient_1,,,,,-3.228182e+00,2.58977321e-01,background
:0:Back;2,background_coefficient_2,,,,,2.816721e-01,2.44704171e-01,background
:0:Back;3,background_coefficient_3,,,,,2.179754e+00,2.34211326e-01,background
:0:Back;4,background_coefficient_4,,,,,-9.609483e-01,2.10420968e-01,background
:0:Back;5,background_coefficient_5,,,,,2.457377e+00,2.12460978e-01,background
0:0:Mustrain;i,phase_0_mustrain_i,DRX_33,0,,,1.330295e+02,3.46965434e+00,other
0:0:Mustrain;mx,phase_0_mustrain_mx,DRX_33,0,,,5.917341e+01,1.53053617e+00,other
1:0:Mustrain;i,phase_1_mustrain_i,Li4MgWO6_SG12,1,,,1.098424e+02,9.15740350e-01,other
1:0:Mustrain;mx,phase_1_mustrain_mx,Li4MgWO6_SG12,1,,,6.094820e+01,5.02675505e-01,other
0::A0,phase_0_reciprocal_metric_tensor_A11,DRX_33,0,,,5.714505e-02,1.89630758e-05,reciprocal_metric_tensor
1::A0,phase_1_reciprocal_metric_tensor_A11,Li4MgWO6_SG12,1,,,4.347558e-02,5.64257616e-06,reciprocal_metric_tensor
1::A1,phase_1_reciprocal_metric_tensor_A22,Li4MgWO6_SG12,1,,,1.294810e-02,1.48405226e-06,reciprocal_metric_tensor
1::A2,phase_1_reciprocal_metric_tensor_A33,Li4MgWO6_SG12,1,,,4.394735e-02,4.79646925e-06,reciprocal_metric_tensor
1::A4,phase_1_reciprocal_metric_tensor_A13,Li4MgWO6_SG12,1,,,3.103184e-02,8.55378188e-06,reciprocal_metric_tensor
0:0:Scale,phase_0_scale_factor,DRX_33,0,,,1.167554e-02,3.44206845e-04,scale
1:0:Scale,phase_1_scale_factor,Li4MgWO6_SG12,1,,,7.768512e-03,4.02903369e-05,scale
