two_theta	y_obs	y_weights	y_calc	y_diff	y_bkg	q_values	d_spacings
1.00035600	29.90070300	0.03344403	31.87483500	-1.97413180	15.47496300	0.65885836	9.53647347
1.00407270	29.89478100	0.03345066	31.86808000	-1.97329850	15.46690900	0.66130621	9.50117393
1.00778950	29.90510000	0.03343911	31.86132400	-1.95622370	15.45886300	0.66375412	9.46613382
1.01150620	29.90040200	0.03344437	31.85456700	-1.95416480	15.45082400	0.66620196	9.43135215
1.01522300	29.90369600	0.03344068	31.84781000	-1.94411360	15.44279100	0.66864987	9.39682423
1.01893970	29.84870500	0.03350229	31.84105200	-1.99234670	15.43476600	0.67109771	9.36254913
1.02265640	29.81320400	0.03354219	31.83429400	-2.02109000	15.42674800	0.67354555	9.32852317
1.02637320	29.84122100	0.03351069	31.82753600	-1.98631480	15.41873800	0.67599346	9.29474273
1.03008990	29.91783700	0.03342488	31.82077700	-1.90294000	15.41073400	0.67844130	9.26120698
1.03380670	29.97472000	0.03336145	31.81401800	-1.83929820	15.40273800	0.68088921	9.22791146
1.03752340	29.98595800	0.03334894	31.80725900	-1.82130080	15.39474900	0.68333704	9.19485539
1.04124020	29.95180900	0.03338696	31.80049900	-1.84869030	15.38676800	0.68578495	9.16203443
1.04495690	29.94264400	0.03339718	31.79373900	-1.85109510	15.37879400	0.68823279	9.12944783
1.04867360	29.93062800	0.03341059	31.78697900	-1.85635110	15.37082700	0.69068062	9.09709222
1.05239040	29.88797600	0.03345827	31.78021900	-1.89224290	15.36286700	0.69312852	9.06496429
1.05610710	29.84059300	0.03351140	31.77345800	-1.93286490	15.35491500	0.69557636	9.03306335
1.05982390	29.86276600	0.03348652	31.76669800	-1.90393150	15.34697100	0.69802426	9.00138532
1.06354060	29.95361300	0.03338495	31.75993700	-1.80632380	15.33903400	0.70047209	8.96992954
1.06725730	29.94370500	0.03339600	31.75317600	-1.80947150	15.33110400	0.70291992	8.93869286
1.07097410	29.93107200	0.03341010	31.74641500	-1.81534280	15.32318200	0.70536782	8.90767216
1.07469080	29.93413400	0.03340668	31.73965400	-1.80552030	15.31526800	0.70781565	8.87686685
1.07840760	29.99234000	0.03334185	31.73289300	-1.74055250	15.30736100	0.71026355	8.84627306
1.08212430	30.01148000	0.03332058	31.72613100	-1.71465100	15.29946200	0.71271138	8.81589026
1.08584100	29.97960900	0.03335601	31.71937000	-1.73976190	15.29157000	0.71515921	8.78571545
1.08955780	29.93756500	0.03340285	31.71260900	-1.77504460	15.28368600	0.71760710	8.75574571
1.09327450	29.89497800	0.03345044	31.70584800	-1.81087090	15.27581000	0.72005493	8.72598054
1.09699130	29.89048800	0.03345546	31.69908700	-1.80859980	15.26794100	0.72250282	8.69641628
1.10070800	29.94139300	0.03339858	31.69232700	-1.75093360	15.26008000	0.72495065	8.66705247
1.10442480	29.97699000	0.03335892	31.68556600	-1.70857600	15.25222700	0.72739854	8.63788551
1.10814150	29.96536600	0.03337186	31.67880500	-1.71343860	15.24438200	0.72984636	8.60891500
1.11185820	29.91774400	0.03342498	31.67204400	-1.75430060	15.23654400	0.73229419	8.58013816
1.11557500	29.88575200	0.03346076	31.66528400	-1.77953250	15.22871400	0.73474208	8.55155232
1.11929170	29.87775000	0.03346972	31.65852400	-1.78077390	15.22089300	0.73718990	8.52315709
1.12300850	29.98424500	0.03335085	31.65176500	-1.66751930	15.21307900	0.73963779	8.49494905
1.12672520	29.99280700	0.03334133	31.64500500	-1.65219770	15.20527300	0.74208561	8.46692788
1.13044190	29.98198300	0.03335336	31.63824600	-1.65626270	15.19747400	0.74453343	8.43909096
1.13415870	29.89496800	0.03345045	31.63148700	-1.73651880	15.18968400	0.74698131	8.41143575
1.13787540	29.90429700	0.03344001	31.62472800	-1.72043120	15.18190200	0.74942913	8.38396196
1.14159220	29.97267000	0.03336373	31.61797000	-1.64530010	15.17412800	0.75187701	8.35666632
1.14530890	30.04151500	0.03328727	31.61121200	-1.56969620	15.16636200	0.75432483	8.32954858
1.14902570	30.10301600	0.03321926	31.60445400	-1.50143830	15.15860400	0.75677271	8.30260555
1.15274240	30.12891200	0.03319071	31.59769700	-1.46878540	15.15085400	0.75922053	8.27583698
1.15645910	30.07527700	0.03324990	31.59094100	-1.51566350	15.14311200	0.76166834	8.24924048
1.16017590	30.02271700	0.03330811	31.58418500	-1.56146820	15.13537800	0.76411622	8.22281369
1.16389260	30.05176700	0.03327591	31.57742900	-1.52566170	15.12765300	0.76656403	8.19655638
1.16760940	30.10101900	0.03322147	31.57067400	-1.46965500	15.11993500	0.76901191	8.17046554
1.17132610	30.16350900	0.03315264	31.56391900	-1.40040980	15.11222600	0.77145972	8.14454097
1.17504280	30.14127000	0.03317710	31.55716500	-1.41589530	15.10452500	0.77390753	8.11878042
1.17875960	30.12010800	0.03320041	31.55041100	-1.43030370	15.09683200	0.77635541	8.09318162
1.18247630	30.03240600	0.03329737	31.54365800	-1.51125260	15.08914800	0.77880321	8.06774444
1.18619310	29.99365200	0.03334039	31.53690600	-1.54325400	15.08147200	0.78125109	8.04246599
1.18990980	30.01440000	0.03331734	31.53015500	-1.51575440	15.07380400	0.78369890	8.01734613
1.19362650	30.05683100	0.03327031	31.52340400	-1.46657270	15.06614400	0.78614670	7.99238271
1.19734330	30.05865300	0.03326829	31.51665400	-1.45800110	15.05849300	0.78859457	7.96757361
1.20106000	30.03716500	0.03329209	31.50990400	-1.47273970	15.05085100	0.79104238	7.94291872
1.20477680	30.00949500	0.03332279	31.50315600	-1.49366080	15.04321600	0.79349025	7.91841530
1.20849350	30.05212200	0.03327552	31.49640800	-1.44428540	15.03559100	0.79593805	7.89406325
1.21221030	30.13282000	0.03318641	31.48966000	-1.35684010	15.02797300	0.79838592	7.86985989
1.21592700	30.22559500	0.03308454	31.48291400	-1.25731810	15.02036400	0.80083372	7.84580514
1.21964370	30.28253600	0.03302233	31.47616800	-1.19363230	15.01276400	0.80328152	7.82189701
1.22336050	30.36876900	0.03292857	31.46942300	-1.10065460	15.00517200	0.80572938	7.79813351
1.22707720	30.34221500	0.03295738	31.46268000	-1.12046500	14.99758900	0.80817718	7.77451460
