h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,0.00000000,0.00000000,6.00000000,4.15682000,2.29511625,1.16654910,0.49169460,86.79431397,1395.19798116,-0.00000000,104.15297999,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,0.00000000,12.00000000,2.93931561,3.24600161,1.17905018,0.53935089,108.54711343,2365.87834361,0.00000000,104.17221287,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,8.00000000,2.39994115,3.97578979,1.19039984,0.57595874,114.77509985,2289.74294467,-0.00000000,46.30731511,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,6.00000000,2.07841000,4.59115383,1.20115679,0.60685116,116.50925923,2137.50896271,-0.00000000,26.05267960,1.00000000,1.00000000,1.00000000
2.00000000,1.00000000,0.00000000,24.00000000,1.85898642,5.13340963,1.21153739,0.63409339,75.09051413,1555.33889604,-0.00000000,83.38399289,1.00000000,1.00000000,1.00000000
2.00000000,1.00000000,1.00000000,24.00000000,1.69701466,5.62374504,1.22165258,0.65874440,55.02657309,1014.94000005,-0.00000000,69.49951807,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,12.00000000,1.46965781,6.49461148,1.24132737,0.70256931,71.06893166,1030.32138224,0.00000000,26.07197226,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,1.00000000,24.00000000,1.38560667,6.88903739,1.25095971,0.72243744,81.30095362,1544.85874845,-0.00000000,46.35876223,1.00000000,1.00000000,1.00000000
3.00000000,0.00000000,0.00000000,6.00000000,1.38560667,6.88903739,1.25095971,0.72243744,30.50704611,579.68664538,0.00000000,11.58969056,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,0.00000000,24.00000000,1.31450190,7.26216983,1.26048699,0.74124467,72.37495908,1334.68197632,-0.00000000,41.73062174,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,24.00000000,1.25332839,7.61713873,1.26992560,0.75914731,57.11286448,918.34154153,0.00000000,37.94396619,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,8.00000000,1.19997057,7.95637559,1.27928826,0.77626680,52.38510314,516.31436681,0.00000000,11.59614145,1.00000000,1.00000000,1.00000000
3.00000000,2.00000000,0.00000000,24.00000000,1.15289443,8.28181393,1.28858509,0.79269969,47.44352062,691.96518606,0.00000000,32.11835463,1.00000000,1.00000000,1.00000000
3.00000000,2.00000000,1.00000000,48.00000000,1.11095688,8.59502133,1.29782431,0.80852423,47.64774053,743.16665226,-0.00000000,59.65945451,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,6.00000000,1.03920500,9.18969830,1.31615584,0.83859566,112.14969517,1079.23860608,0.00000000,6.52767946,1.00000000,1.00000000,1.00000000
3.00000000,2.00000000,2.00000000,24.00000000,1.00817694,9.47316053,1.32525859,0.85294200,51.47706115,792.61609110,-0.00000000,24.57936576,1.00000000,1.00000000,1.00000000
4.00000000,1.00000000,0.00000000,24.00000000,1.00817694,9.47316053,1.32525859,0.85294200,34.96487256,538.37029542,0.00000000,24.57936576,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,0.00000000,12.00000000,0.97977187,9.74845680,1.33432500,0.86688290,66.18789696,1005.97972727,-0.00000000,11.60908345,1.00000000,1.00000000,1.00000000
4.00000000,1.00000000,1.00000000,24.00000000,0.97977187,9.74845680,1.33432500,0.86688290,40.03232408,608.44517374,0.00000000,23.21816691,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,24.00000000,0.95363991,10.01626049,1.34335860,0.88045194,37.64693151,461.20466612,-0.00000000,22.00025498,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,24.00000000,0.92949321,10.27715739,1.35236247,0.89367837,49.51494849,638.75470454,-0.00000000,20.90413694,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,1.00000000,48.00000000,0.90709249,10.53166086,1.36133930,0.90658779,44.34222693,634.42219181,-0.00000000,39.82482732,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,2.00000000,24.00000000,0.88623700,10.78022376,1.37029145,0.91920278,55.89264980,602.36952700,0.00000000,19.01084950,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,2.00000000,24.00000000,0.84850733,11.26109225,1.38812994,0.94362750,41.61037720,357.31852183,-0.00000000,17.43311899,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,0.00000000,24.00000000,0.83136400,11.49407807,1.39701985,0.95547114,27.72915203,275.89726424,-0.00000000,16.73892081,1.00000000,1.00000000,1.00000000
5.00000000,0.00000000,0.00000000,6.00000000,0.83136400,11.49407807,1.39701985,0.95547114,36.57966490,363.95737830,-0.00000000,4.18473020,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,1.00000000,48.00000000,0.81521947,11.72249521,1.40589228,0.96708877,36.77551800,508.53465960,0.00000000,32.19624916,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,0.00000000,24.00000000,0.81521947,11.72249521,1.40589228,0.96708877,29.31448868,405.36297871,0.00000000,16.09812458,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,3.00000000,8.00000000,0.79998038,11.94660577,1.41474862,0.97849345,22.05694582,237.33206738,0.00000000,5.16826558,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,1.00000000,24.00000000,0.79998038,11.94660577,1.41474862,0.97849345,51.69407205,556.22664585,-0.00000000,15.50479675,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,2.00000000,48.00000000,0.77190210,12.38283815,1.43241787,1.00071033,30.32114551,351.96598094,0.00000000,28.88180838,1.00000000,1.00000000,1.00000000
5.00000000,2.00000000,0.00000000,24.00000000,0.77190210,12.38283815,1.43241787,1.00071033,38.10127935,442.27729316,-0.00000000,14.44090419,1.00000000,1.00000000,1.00000000
5.00000000,2.00000000,1.00000000,48.00000000,0.75892803,12.59537527,1.44123298,1.01154323,24.87083341,220.55243956,-0.00000000,27.92431052,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,12.00000000,0.73482890,13.01020298,1.45882896,1.03270339,67.69577698,457.10056239,0.00000000,6.54721397,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,1.00000000,24.00000000,0.72360948,13.21281536,1.46761151,1.04304667,26.13202328,289.72712962,-0.00000000,12.70000891,1.00000000,1.00000000,1.00000000
5.00000000,2.00000000,2.00000000,24.00000000,0.72360948,13.21281536,1.46761151,1.04304667,46.20010906,512.22306214,0.00000000,12.70000891,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,3.00000000,24.00000000,0.71288875,13.41242097,1.47638481,1.05324176,37.66961645,435.93899691,0.00000000,12.32879261,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,0.00000000,24.00000000,0.71288875,13.41242097,1.47638481,1.05324176,30.64968238,354.69943821,-0.00000000,12.32879261,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,1.00000000,48.00000000,0.70263082,13.60915216,1.48514955,1.06329525,29.71530954,322.56138129,-0.00000000,23.95758046,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,2.00000000,24.00000000,0.69280333,13.80313186,1.49390636,1.07321326,30.78747619,273.50996776,0.00000000,11.64823395,1.00000000,1.00000000,1.00000000
6.00000000,0.00000000,0.00000000,6.00000000,0.69280333,13.80313186,1.49390636,1.07321326,47.58217788,422.71084048,0.00000000,2.91205849,1.00000000,1.00000000,1.00000000
6.00000000,1.00000000,0.00000000,24.00000000,0.68337700,13.99447453,1.50265587,1.08300149,30.24830943,219.37048436,0.00000000,11.33554706,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,2.00000000,48.00000000,0.67432525,14.18328693,1.51139864,1.09266525,22.75698681,206.03220766,-0.00000000,22.07863764,1.00000000,1.00000000,1.00000000
6.00000000,1.00000000,1.00000000,24.00000000,0.67432525,14.18328693,1.51139864,1.09266525,26.43362356,239.31893374,0.00000000,11.03931882,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,0.00000000,24.00000000,0.65725095,14.55371363,1.52886601,1.11163893,37.53801074,258.96750875,0.00000000,10.49130069,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,3.00000000,24.00000000,0.64918622,14.73550895,1.53759157,1.12095785,14.71305559,164.38413584,-0.00000000,10.23734309,1.00000000,1.00000000,1.00000000
5.00000000,4.00000000,0.00000000,24.00000000,0.64918622,14.73550895,1.53759157,1.12095785,19.05527110,212.89828302,-0.00000000,10.23734309,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,1.00000000,48.00000000,0.64918622,14.73550895,1.53759157,1.12095785,24.44885607,273.15903573,0.00000000,20.47468618,1.00000000,1.00000000,1.00000000
5.00000000,4.00000000,1.00000000,48.00000000,0.64141125,14.91513707,1.54631231,1.13017038,19.73061811,180.72407373,0.00000000,19.99096003,1.00000000,1.00000000,1.00000000
