# 36 of 36 peaks converged; 0 peaks have aphysical values (warnings)
position_2theta	intensity	sigma	sigma_squared	gamma	fwhm_gaussian	fwhm_lorentzian	fwhm_pseudovoigt	integral_breadth_gaussian	integral_breadth_lorentzian	integral_breadth_pseudovoigt	fwhm_gsas_verification	converged	convergence_detail
2.29520676	5044.25434271	1.05091459	1.10442148	0.57374211	0.02474715	0.00573742	0.02786951	0.02634252	0.00901232	0.02180258	0.02786951	true	converged
3.24544215	9053.13369851	1.06122484	1.12619816	0.58508595	0.02498994	0.00585086	0.02817534	0.02660096	0.00919051	0.02200310	0.02817534	true	converged
3.97488495	4031.48798713	1.07517055	1.15599171	0.60191872	0.02531833	0.00601919	0.02859752	0.02695053	0.00945492	0.02227190	0.02859752	true	converged
4.58990827	2127.63965418	1.07088605	1.14679694	0.66060686	0.02521744	0.00660607	0.02883283	0.02684313	0.01037679	0.02207997	0.02883283	true	converged
5.13207849	4942.83512087	1.09901432	1.20783247	0.62413363	0.02587981	0.00624134	0.02928216	0.02754820	0.00980387	0.02274731	0.02928216	true	converged
5.62236901	2645.10887662	1.11508674	1.24341844	0.62551714	0.02625829	0.00625517	0.02966634	0.02795108	0.00982560	0.02309607	0.02966634	true	converged
6.49319457	1083.68956188	1.12623886	1.26841397	0.68312369	0.02652090	0.00683124	0.03025635	0.02823062	0.01073048	0.02323653	0.03025635	true	converged
6.88764691	3104.49789294	1.14665029	1.31480689	0.66217619	0.02700155	0.00662176	0.03061400	0.02874226	0.01040144	0.02371193	0.03061400	true	converged
7.26083891	2223.26373890	1.15250196	1.32826076	0.69013974	0.02713935	0.00690140	0.03091079	0.02888894	0.01084069	0.02379137	0.03091079	true	converged
7.61587758	1434.49966845	1.16666307	1.36110272	0.69809822	0.02747282	0.00698098	0.03128761	0.02924391	0.01096570	0.02408450	0.03128761	true	converged
7.95515885	249.32222817	1.15424281	1.33227646	0.76604862	0.02718034	0.00766049	0.03138939	0.02893258	0.01203306	0.02375169	0.03138939	true	converged
8.28077810	894.15184421	1.19861780	1.43668463	0.69245253	0.02822529	0.00692453	0.03200298	0.03004489	0.01087702	0.02478609	0.03200298	true	converged
