two_theta	y_obs	y_weights	y_calc	y_diff	y_bkg	q_values	d_spacings
1.00035600	29.90070300	0.03344403	30.33034400	-0.42964073	30.33034400	0.65885836	9.53647347
1.00407270	29.89478100	0.03345066	30.33776700	-0.44298547	30.33776700	0.66130621	9.50117393
1.00778950	29.90510000	0.03343911	30.34514100	-0.44004064	30.34514100	0.66375412	9.46613382
1.01150620	29.90040200	0.03344437	30.35246600	-0.45206399	30.35246600	0.66620196	9.43135215
1.01522300	29.90369600	0.03344068	30.35974300	-0.45604729	30.35974300	0.66864987	9.39682423
1.01893970	29.84870500	0.03350229	30.36697200	-0.51826720	30.36697200	0.67109771	9.36254913
1.02265640	29.81320400	0.03354219	30.37415400	-0.56094979	30.37415400	0.67354555	9.32852317
1.02637320	29.84122100	0.03351069	30.38128700	-0.54006594	30.38128700	0.67599346	9.29474273
1.03008990	29.91783700	0.03342488	30.38837200	-0.47053506	30.38837200	0.67844130	9.26120698
1.03380670	29.97472000	0.03336145	30.39541000	-0.42068991	30.39541000	0.68088921	9.22791146
1.03752340	29.98595800	0.03334894	30.40240000	-0.41644195	30.40240000	0.68333704	9.19485539
1.04124020	29.95180900	0.03338696	30.40934300	-0.45753381	30.40934300	0.68578495	9.16203443
1.04495690	29.94264400	0.03339718	30.41623800	-0.47359396	30.41623800	0.68823279	9.12944783
1.04867360	29.93062800	0.03341059	30.42308600	-0.49245837	30.42308600	0.69068062	9.09709222
1.05239040	29.88797600	0.03345827	30.42988700	-0.54191151	30.42988700	0.69312852	9.06496429
1.05610710	29.84059300	0.03351140	30.43664100	-0.59604786	30.43664100	0.69557636	9.03306335
1.05982390	29.86276600	0.03348652	30.44334800	-0.58058205	30.44334800	0.69802426	9.00138532
1.06354060	29.95361300	0.03338495	30.45000900	-0.49639538	30.45000900	0.70047209	8.96992954
1.06725730	29.94370500	0.03339600	30.45662200	-0.51291774	30.45662200	0.70291992	8.93869286
1.07097410	29.93107200	0.03341010	30.46318900	-0.53211725	30.46318900	0.70536782	8.90767216
1.07469080	29.93413400	0.03340668	30.46971000	-0.53557667	30.46971000	0.70781565	8.87686685
1.07840760	29.99234000	0.03334185	30.47618500	-0.48384451	30.47618500	0.71026355	8.84627306
1.08212430	30.01148000	0.03332058	30.48261300	-0.47113246	30.48261300	0.71271138	8.81589026
1.08584100	29.97960900	0.03335601	30.48899500	-0.50938635	30.48899500	0.71515921	8.78571545
1.08955780	29.93756500	0.03340285	30.49533100	-0.55776615	30.49533100	0.71760710	8.75574571
1.09327450	29.89497800	0.03345044	30.50162100	-0.60664369	30.50162100	0.72005493	8.72598054
1.09699130	29.89048800	0.03345546	30.50786600	-0.61737808	30.50786600	0.72250282	8.69641628
1.10070800	29.94139300	0.03339858	30.51406500	-0.57267171	30.51406500	0.72495065	8.66705247
1.10442480	29.97699000	0.03335892	30.52021800	-0.54322819	30.52021800	0.72739854	8.63788551
1.10814150	29.96536600	0.03337186	30.52632600	-0.56095949	30.52632600	0.72984636	8.60891500
1.11185820	29.91774400	0.03342498	30.53238800	-0.61464477	30.53238800	0.73229419	8.58013816
1.11557500	29.88575200	0.03346076	30.53840600	-0.65265414	30.53840600	0.73474208	8.55155232
1.11929170	29.87775000	0.03346972	30.54437800	-0.66662779	30.54437800	0.73718990	8.52315709
1.12300850	29.98424500	0.03335085	30.55030600	-0.56606025	30.55030600	0.73963779	8.49494905
1.12672520	29.99280700	0.03334133	30.55618800	-0.56338066	30.55618800	0.74208561	8.46692788
1.13044190	29.98198300	0.03335336	30.56202600	-0.58004262	30.56202600	0.74453343	8.43909096
1.13415870	29.89496800	0.03345045	30.56781900	-0.67285089	30.56781900	0.74698131	8.41143575
1.13787540	29.90429700	0.03344001	30.57356800	-0.66927063	30.57356800	0.74942913	8.38396196
1.14159220	29.97267000	0.03336373	30.57927200	-0.60660208	30.57927200	0.75187701	8.35666632
1.14530890	30.04151500	0.03328727	30.58493200	-0.54341620	30.58493200	0.75432483	8.32954858
1.14902570	30.10301600	0.03321926	30.59054700	-0.48753133	30.59054700	0.75677271	8.30260555
1.15274240	30.12891200	0.03319071	30.59611900	-0.46720686	30.59611900	0.75922053	8.27583698
1.15645910	30.07527700	0.03324990	30.60164600	-0.52636912	30.60164600	0.76166834	8.24924048
1.16017590	30.02271700	0.03330811	30.60713000	-0.58441369	30.60713000	0.76411622	8.22281369
1.16389260	30.05176700	0.03327591	30.61257000	-0.56080286	30.61257000	0.76656403	8.19655638
1.16760940	30.10101900	0.03322147	30.61796700	-0.51694767	30.61796700	0.76901191	8.17046554
1.17132610	30.16350900	0.03315264	30.62331900	-0.45981004	30.62331900	0.77145972	8.14454097
1.17504280	30.14127000	0.03317710	30.62862900	-0.48735914	30.62862900	0.77390753	8.11878042
1.17875960	30.12010800	0.03320041	30.63389500	-0.51378726	30.63389500	0.77635541	8.09318162
1.18247630	30.03240600	0.03329737	30.63911800	-0.60671195	30.63911800	0.77880321	8.06774444
1.18619310	29.99365200	0.03334039	30.64429800	-0.65064525	30.64429800	0.78125109	8.04246599
1.18990980	30.01440000	0.03331734	30.64943400	-0.63503392	30.64943400	0.78369890	8.01734613
1.19362650	30.05683100	0.03327031	30.65452800	-0.59769697	30.65452800	0.78614670	7.99238271
1.19734330	30.05865300	0.03326829	30.65957900	-0.60092661	30.65957900	0.78859457	7.96757361
1.20106000	30.03716500	0.03329209	30.66458800	-0.62742330	30.66458800	0.79104238	7.94291872
1.20477680	30.00949500	0.03332279	30.66955400	-0.66005916	30.66955400	0.79349025	7.91841530
1.20849350	30.05212200	0.03327552	30.67447700	-0.62235533	30.67447700	0.79593805	7.89406325
1.21221030	30.13282000	0.03318641	30.67935900	-0.54653849	30.67935900	0.79838592	7.86985989
1.21592700	30.22559500	0.03308454	30.68419800	-0.45860209	30.68419800	0.80083372	7.84580514
1.21964370	30.28253600	0.03302233	30.68899400	-0.40645884	30.68899400	0.80328152	7.82189701
1.22336050	30.36876900	0.03292857	30.69374900	-0.32498051	30.69374900	0.80572938	7.79813351
1.22707720	30.34221500	0.03295738	30.69846200	-0.35624753	30.69846200	0.80817718	7.77451460
1.23079400	30.29414900	0.03300967	30.70313300	-0.40898382	30.70313300	0.81062505	7.75103771
1.23451070	30.25435400	0.03305309	30.70776300	-0.45340817	30.70776300	0.81307284	7.72770282
1.23822740	30.24670200	0.03306146	30.71235000	-0.46564830	30.71235000	0.81552064	7.70450802
1.24194420	30.24067900	0.03306804	30.71689700	-0.47621807	30.71689700	0.81796850	7.68145143
1.24566090	30.16241300	0.03315385	30.72140200	-0.55898923	30.72140200	0.82041629	7.65853305
1.24937770	30.13308000	0.03318612	30.72586600	-0.59278608	30.72586600	0.82286415	7.63575042
1.25309440	30.13334700	0.03318583	30.73028800	-0.59694164	30.73028800	0.82531195	7.61310355
1.25681120	30.14400700	0.03317409	30.73467000	-0.59066301	30.73467000	0.82775980	7.59059002
1.26052790	30.16582300	0.03315010	30.73901000	-0.57318736	30.73901000	0.83020759	7.56820986
1.26424460	30.18110800	0.03313331	30.74331000	-0.56220164	30.74331000	0.83265538	7.54596130
1.26796140	30.19146500	0.03312194	30.74756900	-0.55610377	30.74756900	0.83510324	7.52384257
1.27167810	30.21427700	0.03309694	30.75178800	-0.53751030	30.75178800	0.83755103	7.50185373
1.27539490	30.17021200	0.03314528	30.75596500	-0.58575368	30.75596500	0.83999888	7.47999247
1.27911160	30.19359800	0.03311960	30.76010300	-0.56650517	30.76010300	0.84244667	7.45825884
1.28282830	30.13808200	0.03318061	30.76420000	-0.62611764	30.76420000	0.84489445	7.43665115
1.28654510	30.17755300	0.03313721	30.76825700	-0.59070395	30.76825700	0.84734230	7.41516773
1.29026180	30.19960000	0.03311302	30.77227400	-0.57267380	30.77227400	0.84979009	7.39380866
1.29397860	30.26573800	0.03304066	30.77625100	-0.51051339	30.77625100	0.85223794	7.37257172
1.29769530	30.28415100	0.03302057	30.78018800	-0.49603686	30.78018800	0.85468572	7.35145700
1.30141200	30.25846500	0.03304860	30.78408500	-0.52562037	30.78408500	0.85713350	7.33046289
1.30512880	30.20931600	0.03310237	30.78794300	-0.57862650	30.78794300	0.85958135	7.30958779
1.30884550	30.13721700	0.03318157	30.79176100	-0.65454418	30.79176100	0.86202912	7.28883181
1.31256230	30.15107500	0.03316631	30.79553900	-0.64446392	30.79553900	0.86447697	7.26819283
1.31627900	30.17384700	0.03314128	30.79927800	-0.62543125	30.79927800	0.86692475	7.24767096
1.31999580	30.13068800	0.03318876	30.80297800	-0.67229066	30.80297800	0.86937259	7.22726411
1.32371250	30.10742400	0.03321440	30.80663900	-0.69921536	30.80663900	0.87182036	7.20697240
1.32742920	30.12446800	0.03319561	30.81026100	-0.68579300	30.81026100	0.87426814	7.18679433
1.33114600	30.19003900	0.03312351	30.81384400	-0.62380495	30.81384400	0.87671598	7.16672840
1.33486270	30.19992100	0.03311267	30.81738800	-0.61746691	30.81738800	0.87916375	7.14677475
1.33857950	30.14701100	0.03317079	30.82089300	-0.67388196	30.82089300	0.88161159	7.12693138
1.34229620	30.11749300	0.03320330	30.82435900	-0.70686664	30.82435900	0.88405936	7.10719844
1.34601290	30.15780400	0.03315891	30.82778700	-0.66998286	30.82778700	0.88650713	7.08757447
1.34972970	30.23705900	0.03307200	30.83117700	-0.59411832	30.83117700	0.88895497	7.06805805
1.35344640	30.24636500	0.03306183	30.83452800	-0.58816365	30.83452800	0.89140273	7.04864935
1.35716320	30.22049100	0.03309013	30.83784100	-0.61734989	30.83784100	0.89385057	7.02934644
1.36087990	30.21218900	0.03309922	30.84111600	-0.62892753	30.84111600	0.89629833	7.01014949
1.36459660	30.24651500	0.03306166	30.84435300	-0.59783791	30.84435300	0.89874610	6.99105711
1.36831340	30.29505500	0.03300869	30.84755200	-0.55249680	30.84755200	0.90119393	6.97206794
1.37203010	30.22862400	0.03308123	30.85071300	-0.62208906	30.85071300	0.90364169	6.95318217
1.37574690	30.18080700	0.03313364	30.85383700	-0.67302979	30.85383700	0.90608952	6.93439794
1.37946360	30.11012600	0.03321142	30.85692300	-0.74679629	30.85692300	0.90853728	6.91571543
1.38318040	30.16350000	0.03315265	30.85997100	-0.69647135	30.85997100	0.91098511	6.89713283
1.38689710	30.18855900	0.03312513	30.86298200	-0.67442358	30.86298200	0.91343287	6.87865033
1.39061380	30.24554800	0.03306272	30.86595600	-0.62040760	30.86595600	0.91588063	6.86026663
1.39433060	30.33328400	0.03296709	30.86889200	-0.53560796	30.86889200	0.91832845	6.84198044
1.39804730	30.41914600	0.03287403	30.87179200	-0.45264615	30.87179200	0.92077621	6.82379198
