position_2theta,intensity,sigma,sigma_squared,gamma,fwhm_gaussian,fwhm_lorentzian,fwhm_pseudovoigt,integral_breadth_gaussian,integral_breadth_lorentzian,integral_breadth_pseudovoigt,fwhm_gsas_verification,converged,convergence_detail
2.29399370,50.60010400,1.04071029,1.08307790,0.58698567,0.02450685,0.00586986,0.02770573,0.02608674,0.00922035,0.02154882,0.02770573,True,converged
3.24458230,90.01455700,1.07554326,1.15679330,0.53068225,0.02532711,0.00530682,0.02820410,0.02695987,0.00833594,0.02247382,0.02820410,True,converged
3.97417570,39.92949200,1.09800068,1.20560550,0.52049787,0.02585594,0.00520498,0.02867398,0.02752280,0.00817596,0.02301679,0.02867398,True,converged
4.58928890,21.06788200,1.09031697,1.18879110,0.58453253,0.02567500,0.00584533,0.02885373,0.02733019,0.00918182,0.02264652,0.02885373,True,converged
5.13153440,49.28529800,1.10388505,1.21856220,0.59346702,0.02599451,0.00593467,0.02922219,0.02767029,0.00932216,0.02292412,0.02922219,True,converged
5.62187150,26.44009600,1.11280852,1.23834280,0.61443144,0.02620464,0.00614431,0.02955002,0.02789397,0.00965147,0.02307055,0.02955002,True,converged
6.49275970,10.93949000,1.09723343,1.20392120,0.75064025,0.02583787,0.00750640,0.02996957,0.02750356,0.01179103,0.02257051,0.02996957,True,converged
6.88724160,31.16506100,1.13166174,1.28065830,0.68643396,0.02664860,0.00686434,0.03040216,0.02836655,0.01078248,0.02334838,0.03040216,True,converged
7.26045370,22.38499000,1.12919276,1.27507630,0.73898960,0.02659046,0.00738990,0.03064761,0.02830467,0.01160802,0.02324228,0.03064761,True,converged
7.61550630,14.44478200,1.14448119,1.30983720,0.74559498,0.02695047,0.00745595,0.03104285,0.02868789,0.01171178,0.02355926,0.03104285,True,converged
7.95479160,2.57071980,1.08718094,1.18196240,0.97129581,0.02560115,0.00971296,0.03105129,0.02725158,0.01525708,0.02264557,0.03105129,True,converged
8.28043830,8.98300800,1.18547830,1.40535880,0.71638820,0.02791588,0.00716388,0.03183251,0.02971553,0.01125300,0.02446252,0.03183251,True,converged
8.59377690,18.24897800,1.22058052,1.48981680,0.64518521,0.02874247,0.00645185,0.03224907,0.03059542,0.01013455,0.02537620,0.03224907,True,converged
9.18871230,2.99284990,1.22721950,1.50606770,0.71486450,0.02889881,0.00714865,0.03280025,0.03076183,0.01122907,0.02536681,0.03280025,True,converged
9.47237060,13.87238900,1.26645035,1.60389650,0.64363371,0.02982263,0.00643634,0.03331561,0.03174520,0.01011017,0.02640355,0.03331561,True,converged
9.74780810,10.93906000,1.28578369,1.65323970,0.63882805,0.03027789,0.00638828,0.03374200,0.03222982,0.01003469,0.02685246,0.03374200,True,converged
10.01571000,4.19873940,1.31763857,1.73617140,0.56500078,0.03102802,0.00565001,0.03407818,0.03302830,0.00887501,0.02786261,0.03407818,True,converged
10.27690200,5.72690730,1.33346159,1.77811980,0.56913084,0.03140062,0.00569131,0.03447271,0.03342493,0.00893989,0.02820913,0.03447271,True,converged
10.53154500,11.14818500,1.33690961,1.78732730,0.60409307,0.03148182,0.00604093,0.03474770,0.03351135,0.00948907,0.02813883,0.03474770,True,converged
10.78020200,5.10111010,1.36282798,1.85730010,0.55221346,0.03209215,0.00552213,0.03506917,0.03416103,0.00867415,0.02896928,0.03506917,True,converged
11.26149200,2.62641120,1.41211671,1.99407360,0.39636798,0.03325281,0.00396368,0.03537795,0.03539652,0.00622613,0.03110223,0.03537795,True,converged
11.49465800,2.68158010,1.38298019,1.91263420,0.58546349,0.03256669,0.00585463,0.03572629,0.03466617,0.00919644,0.02927851,0.03572629,True,converged
11.72336000,10.29308800,1.37648509,1.89471120,0.66113896,0.03241375,0.00661139,0.03599475,0.03450336,0.01038515,0.02882359,0.03599475,True,converged
11.94753000,4.65381080,1.33517122,1.78268220,0.83470414,0.03144088,0.00834704,0.03601222,0.03346778,0.01311150,0.02751619,0.03601222,True,converged
12.38423300,7.77274670,1.39513024,1.94638840,0.74851645,0.03285281,0.00748516,0.03692342,0.03497073,0.01175767,0.02897621,0.03692342,True,converged
12.59682200,2.89535560,1.30926445,1.71417340,1.08048900,0.03083082,0.01080489,0.03685482,0.03281839,0.01697228,0.02707781,0.03685482,True,converged
13.01184700,1.57530460,1.23029496,1.51362570,1.47951270,0.02897123,0.01479513,0.03752184,0.03083892,0.02324013,0.02725793,0.03752184,True,converged
13.21487600,5.11299170,1.39329347,1.94126670,0.93733196,0.03280955,0.00937332,0.03796375,0.03492469,0.01472358,0.02866520,0.03796375,True,converged
