parameter_name,descriptive_name,category,value_gsasii,value_easydiffraction,esd_gsasii,esd_easydiffraction
rwp,weighted profile R (%),fit_statistics,6.00596572598052,9.63304,,
gof,goodness of fit,fit_statistics,,0.598058,,
cell_a,LaB6 cubic lattice parameter (A),unit_cell,4.1571922508,4.15754,2.13167e-05,2.50118e-05
0:0:Scale,phase_0_scale_factor,scale,3.776544e-02,5.46493e-06,6.62954669e-05,1.31611e-08
0::A0,phase_0_reciprocal_metric_tensor_A11,reciprocal_metric_tensor,5.786284e-02,,5.93401587e-07,
0::a,phase_0_cell_a,unit_cell,,4.15754,,2.50118e-05
:0:Back;0,background_coefficient_0,background,3.001913e+01,30.4358,6.21912440e-02,0.0916268
:0:Back;1,background_coefficient_1,background,1.341768e+00,0.692142,9.94024497e-02,0.156999
:0:Back;2,background_coefficient_2,background,1.133582e+00,1.41965,9.05161265e-02,0.141589
:0:Back;3,background_coefficient_3,background,-1.427290e+00,-0.381805,8.86344956e-02,0.138862
:0:Back;4,background_coefficient_4,background,5.558719e-01,-0.383938,7.73982777e-02,0.12188
:0:Back;5,background_coefficient_5,background,3.241936e-01,0.882913,7.63847689e-02,0.121776
:0:U,instrument_broadening_U,instrument_broadening,1.688504e+01,-1.9658,7.60967407e+00,1.7956
:0:V,instrument_broadening_V,instrument_broadening,1.519327e+01,0.631951,8.75780536e-01,0.167277
:0:W,instrument_broadening_W,instrument_broadening,6.145774e-01,1.43157,2.35057514e-02,0.0106855
:0:X,instrument_broadening_X,instrument_broadening,8.966535e-01,7.77497,1.58191007e-02,0.0881372
:0:Y,instrument_broadening_Y,instrument_broadening,-1.664680e+01,0.00329534,3.61647507e-01,0.00146743
