h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,0.00000000,0.00000000,6.00000000,4.15719225,2.29491071,0.92566576,0.77358284,1338.70098860,1395.21700566,-0.00000000,3.93303031,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,0.00000000,12.00000000,2.93957883,3.24571087,1.05858268,0.68314501,2315.39310086,2366.00577200,-0.00000000,3.93375645,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,8.00000000,2.40015607,3.97543363,1.16221523,0.61375369,2289.68665206,2289.90870585,0.00000000,1.74865915,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,0.00000000,6.00000000,2.07859613,4.59074250,1.25070135,0.55524997,2135.79260148,2137.69142521,-0.00000000,0.98380256,1.00000000,1.00000000,1.00000000
2.00000000,1.00000000,0.00000000,24.00000000,1.85915289,5.13294966,1.32951606,0.50369975,1554.84790735,1555.47449818,-0.00000000,3.14875031,1.00000000,1.00000000,1.00000000
2.00000000,1.00000000,1.00000000,24.00000000,1.69716663,5.62324107,1.40146672,0.45708579,987.96010309,1015.02725247,-0.00000000,2.62444402,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,0.00000000,12.00000000,1.46978942,6.49402930,1.53086411,0.37429191,1058.68348159,1030.43154819,-0.00000000,0.98453096,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,1.00000000,24.00000000,1.38573075,6.88841977,1.59015130,0.33678953,1587.38067122,1545.03977442,0.00000000,1.75060155,1.00000000,1.00000000,1.00000000
3.00000000,0.00000000,0.00000000,6.00000000,1.38573075,6.88841977,1.59015130,0.33678953,595.63787708,579.75016826,-0.00000000,0.43765039,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,0.00000000,24.00000000,1.31461962,7.26151867,1.64663135,0.30130830,1371.97067991,1334.84418484,0.00000000,1.57583346,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,24.00000000,1.25344063,7.61645566,1.70071871,0.26755043,958.46940808,918.45817173,0.00000000,1.43284157,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,8.00000000,1.20007803,7.95566200,1.75273529,0.23528461,505.39207567,516.38460666,-0.00000000,0.43789394,1.00000000,1.00000000,1.00000000
3.00000000,2.00000000,0.00000000,24.00000000,1.15299768,8.28107105,1.80293704,0.20432692,692.31996459,692.06237687,0.00000000,1.21285451,1.00000000,1.00000000,1.00000000
3.00000000,2.00000000,1.00000000,48.00000000,1.11105636,8.59425025,1.85153147,0.17452827,773.77280315,743.27484184,0.00000000,2.25286249,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,6.00000000,1.03929806,9.18887366,1.94455410,0.11793693,1079.83816107,1079.40329479,0.00000000,0.24649845,1.00000000,1.00000000,1.00000000
3.00000000,2.00000000,2.00000000,24.00000000,1.00826722,9.47231033,1.98924598,0.09095477,846.23813736,792.74383993,0.00000000,0.92816681,1.00000000,1.00000000,1.00000000
4.00000000,1.00000000,0.00000000,24.00000000,1.00826722,9.47231033,1.98924598,0.09095477,574.79492573,538.45970357,-0.00000000,0.92816681,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,0.00000000,12.00000000,0.97985961,9.74758177,2.03286843,0.06474516,1066.14941229,1006.14466567,0.00000000,0.43838257,1.00000000,1.00000000,1.00000000
4.00000000,1.00000000,1.00000000,24.00000000,0.97985961,9.74758177,2.03286843,0.06474516,644.84127446,608.54848394,-0.00000000,0.87676514,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,24.00000000,0.95372531,10.01536130,2.07551054,0.03924409,463.54026930,461.28719427,0.00000000,0.83077429,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,24.00000000,0.92957645,10.27623466,2.11724978,0.01439590,673.87425626,638.86956247,0.00000000,0.78938262,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,1.00000000,48.00000000,0.90717372,10.53071515,2.15815405,0.00100000,699.26426421,634.53968277,-0.00000000,1.50386622,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,2.00000000,24.00000000,0.88631637,10.77925560,2.19828323,0.00100000,656.71254433,602.48461148,-0.00000000,0.71788820,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,2.00000000,24.00000000,0.84858331,11.26008063,2.27642320,0.00100000,359.35456847,357.39258332,0.00000000,0.65830985,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,0.00000000,24.00000000,0.83143845,11.49304538,2.31452392,0.00100000,284.08889052,275.95660817,-0.00000000,0.63209550,1.00000000,1.00000000,1.00000000
5.00000000,0.00000000,0.00000000,6.00000000,0.83143845,11.49304538,2.31452392,0.00100000,374.76233025,364.03444478,-0.00000000,0.15802388,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,1.00000000,48.00000000,0.81529248,11.72144186,2.35203092,0.00100000,568.37622621,508.64312368,0.00000000,1.21579544,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,0.00000000,24.00000000,0.81529248,11.72144186,2.35203092,0.00100000,453.06480388,405.45027474,0.00000000,0.60789772,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,3.00000000,8.00000000,0.80005202,11.94553214,2.38897886,0.00100000,266.96003570,237.38554039,0.00000000,0.19516415,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,1.00000000,24.00000000,0.80005202,11.94553214,2.38897886,0.00100000,625.65984793,556.34769717,-0.00000000,0.58549244,1.00000000,1.00000000,1.00000000
