parameter_name,descriptive_name,phase_name,phase_idx,atom_name,atom_idx,value,esd,category
:0:Back;0,background_coefficient_0,,,,,3.001913e+01,6.21912440e-02,background
:0:Back;1,background_coefficient_1,,,,,1.341768e+00,9.94024497e-02,background
:0:Back;2,background_coefficient_2,,,,,1.133582e+00,9.05161265e-02,background
:0:Back;3,background_coefficient_3,,,,,-1.427290e+00,8.86344956e-02,background
:0:Back;4,background_coefficient_4,,,,,5.558719e-01,7.73982777e-02,background
:0:Back;5,background_coefficient_5,,,,,3.241936e-01,7.63847689e-02,background
:0:U,instrument_broadening_U,,,,,1.688504e+01,7.60967407e+00,instrument_broadening
:0:V,instrument_broadening_V,,,,,1.519327e+01,8.75780536e-01,instrument_broadening
:0:W,instrument_broadening_W,,,,,6.145774e-01,2.35057514e-02,instrument_broadening
:0:X,instrument_broadening_X,,,,,8.966535e-01,1.58191007e-02,instrument_broadening
:0:Y,instrument_broadening_Y,,,,,-1.664680e+01,3.61647507e-01,instrument_broadening
0::A0,phase_0_reciprocal_metric_tensor_A11,LaB6,0,,,5.786284e-02,5.93401587e-07,reciprocal_metric_tensor
0:0:Scale,phase_0_scale_factor,LaB6,0,,,3.776544e-02,6.62954669e-05,scale
